frame,event,state,gate_enabled,memory_remaining,ready_count,lost_count,screen_x,screen_x_copy,raw_horizontal,normalized,arm_ready,raw_detected,normalized_detected,auto_aim_detected,centered_for_lost,raw_quiet,normalized_quiet,target_lost_candidate
18260,SAMPLE,TARGET_LOCKED,true,0,0,0,131.01536560059,131.01536560059,-150.39801025391,0.15093159675598,false,true,true,true,false,false,false,false
18265,SAMPLE,TARGET_LOCKED,true,0,0,0,127.76971435547,127.76971435547,-166.79508972168,0.16756594181061,false,true,true,true,false,false,false,false
18270,SAMPLE,TARGET_LOCKED,true,0,0,0,126.7113494873,126.7113494873,-172.11280822754,0.17293500900269,false,true,true,true,false,false,false,false
18275,SAMPLE,TARGET_LOCKED,true,0,0,0,125.27174377441,125.27174377441,-179.32066345215,0.18026947975159,false,true,true,true,false,false,false,false
18280,SAMPLE,TARGET_LOCKED,true,0,0,0,124.55506896973,124.55506896973,-182.89695739746,0.18391263484955,false,true,true,true,false,false,false,false
18285,SAMPLE,TARGET_LOCKED,true,0,0,0,124.32147216797,124.32147216797,-184.060546875,0.18506324291229,false,true,true,true,false,false,false,false
18290,SAMPLE,TARGET_LOCKED,true,0,0,0,123.97418212891,123.97418212891,-185.78898620605,0.18683695793152,false,true,true,true,false,false,false,false
18295,SAMPLE,TARGET_LOCKED,true,0,0,0,123.87675476074,123.87675476074,-186.27326965332,0.1873162984848,false,true,true,true,false,false,false,false
18300,SAMPLE,TARGET_LOCKED,true,0,0,0,123.8447265625,123.8447265625,-186.4322052002,0.18750810623169,false,true,true,true,false,false,false,false
18305,SAMPLE,TARGET_LOCKED,true,0,0,0,123.8299407959,123.8299407959,-186.50509643555,0.18755602836609,false,true,true,true,false,false,false,false
18310,SAMPLE,TARGET_LOCKED,true,0,0,0,123.89625549316,123.89625549316,-186.17489624023,0.187220454216,false,true,true,true,false,false,false,false
18315,SAMPLE,TARGET_LOCKED,true,0,0,0,123.99668884277,123.99668884277,-185.67495727539,0.18674111366272,false,true,true,true,false,false,false,false
18320,SAMPLE,TARGET_LOCKED,true,0,0,0,123.97636413574,123.97636413574,-185.77864074707,0.18683695793152,false,true,true,true,false,false,false,false
18325,SAMPLE,TARGET_LOCKED,true,0,0,0,124.15234375,124.15234375,-184.90689086914,0.18645346164703,false,true,true,true,false,false,false,false
18330,SAMPLE,TARGET_LOCKED,true,0,0,0,124.0096206665,124.0096206665,-185.61688232422,0.18664515018463,false,true,true,true,false,false,false,false
18335,SAMPLE,TARGET_LOCKED,true,0,0,0,123.22881317139,123.22881317139,-189.49649047852,0.19062399864197,false,true,true,true,false,false,false,false
18340,SAMPLE,TARGET_LOCKED,true,0,0,0,121.92182159424,121.92182159424,-195.97520446777,0.1971914768219,false,true,true,true,false,false,false,false
18345,SAMPLE,TARGET_LOCKED,true,0,0,0,120.20745849609,120.20745849609,-204.43717956543,0.20586812496185,false,true,true,true,false,false,false,false
18350,SAMPLE,TARGET_LOCKED,true,0,0,0,117.58044433594,117.58044433594,-217.31687927246,0.21905100345612,false,true,true,true,false,false,false,false
18355,SAMPLE,TARGET_LOCKED,true,0,0,0,142.83843994141,142.83843994141,-89.711151123047,0.089811086654663,false,true,true,true,false,false,false,false
18360,SAMPLE,TARGET_LOCKED,true,0,0,0,151.92674255371,151.92674255371,-42.335567474365,0.042304873466492,false,true,true,true,false,false,false,false
