frame,event,state,gate_enabled,attempt,memory_remaining,ready_count,result_elapsed,kill_confirm_count,retry_delay_remaining,screen_x,screen_x_copy,raw_horizontal,normalized,baseline_pointer_hex,shot_pointer_hex,current_pointer_hex,last_pointer_hex,arm_ready,raw_detected,normalized_detected,auto_aim_detected,pointer_was_live,pointer_zero_now,pointer_transitioned_to_zero,changed_from_shot
3084,SAMPLE,TRACKING,false,0,45,0,0,0,0,226.88200378418,226.88200378418,330.99966430664,-0.33760070800781,0x801FABDC,nil,0x801FABDC,0x801FABDC,false,true,true,true,true,false,false,false
3086,SAMPLE,TRACKING,false,0,45,0,0,0,0,227.09550476074,227.09550476074,331.94223022461,-0.33860731124878,0x801FABDC,nil,0x801FABDC,0x801FABDC,false,true,true,true,true,false,false,false
3088,SAMPLE,TRACKING,false,0,45,0,0,0,0,227.09550476074,227.09550476074,331.94223022461,-0.33860731124878,0x801FABDC,nil,0x801FABDC,0x801FABDC,false,true,true,true,true,false,false,false
3090,SAMPLE,TRACKING,false,0,45,0,0,0,0,227.25161743164,227.25161743164,332.62951660156,-0.33932638168335,0x801FABDC,nil,0x801FABDC,0x801FABDC,false,true,true,true,true,false,false,false
3092,SAMPLE,TRACKING,false,0,45,0,0,0,0,227.32684326172,227.32684326172,332.95922851563,-0.33966207504272,0x801FABDC,nil,0x801FABDC,0x801FABDC,false,true,true,true,true,false,false,false
3094,SAMPLE,TRACKING,false,0,45,0,0,0,0,227.32684326172,227.32684326172,332.95922851563,-0.33966207504272,0x801FABDC,nil,0x801FABDC,0x801FABDC,false,true,true,true,true,false,false,false
3096,SAMPLE,TRACKING,false,0,45,0,0,0,0,227.29127502441,227.29127502441,332.80517578125,-0.33951807022095,0x801FABDC,nil,0x801FABDC,0x801FABDC,false,true,true,true,true,false,false,false
3098,SAMPLE,TRACKING,false,0,45,0,0,0,0,227.20812988281,227.20812988281,332.44775390625,-0.33913469314575,0x801FABDC,nil,0x801FABDC,0x801FABDC,false,true,true,true,true,false,false,false
3100,SAMPLE,TRACKING,false,0,45,0,0,0,0,227.15545654297,227.15545654297,332.2255859375,-0.33884716033936,0x801FABDC,nil,0x801FABDC,0x801FABDC,false,true,true,true,true,false,false,false
3102,SAMPLE,TRACKING,false,0,45,0,0,0,0,227.15545654297,227.15545654297,332.2255859375,-0.33884716033936,0x801FABDC,nil,0x801FABDC,0x801FABDC,false,true,true,true,true,false,false,false
3104,SAMPLE,TRACKING,false,0,45,0,0,0,0,227.31649780273,227.31649780273,332.93933105469,-0.3396143913269,0x801FABDC,nil,0x801FABDC,0x801FABDC,false,true,true,true,true,false,false,false
