shot_id,frame,event,outcome,relative_frame,screen_x,screen_y,screen_x_copy,screen_y_copy,raw_horizontal,raw_vertical,raw_vertical_copy,normalized_horizontal,normalized_vertical
,2673,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2674,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2675,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2676,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2677,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2678,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2679,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2680,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2681,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2682,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2683,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2684,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2685,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2686,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2687,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2688,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2689,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2690,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2691,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2692,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2693,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2694,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2695,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2696,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2697,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2698,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2699,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2700,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2701,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2702,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2703,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2704,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2705,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2706,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2707,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2708,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2709,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2710,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2711,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2712,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2713,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2714,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2715,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2716,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2717,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2718,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2719,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2720,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2721,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2722,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2723,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2724,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2725,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2726,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2727,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2728,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2729,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
