frame,event,classification,raw_horizontal,raw_offset,related,screen_x,screen_x_copy,normalized
3107,,ARM_CENTERED,0.0,-2.0,-1.8821089267731,160.0,160.0,0.0
3110,,ARM_CENTERED,0.0,-2.0,-1.8792868852615,160.0,160.0,0.0
3112,,ARM_CENTERED,0.0,-2.0,-1.8750752210617,160.0,160.0,0.0
3114,,ARM_CENTERED,0.0,-2.0,-1.8723827600479,160.0,160.0,0.0
3116,,ARM_CENTERED,0.0,-2.0,-1.8697620630264,160.0,160.0,0.0
3119,,ARM_CENTERED,0.0,-2.0,-1.8672121763229,160.0,160.0,0.0
3121,,ARM_CENTERED,0.0,-2.0,-1.8647320270538,160.0,160.0,0.0
3123,,ARM_CENTERED,0.0,-2.0,-1.862321138382,160.0,160.0,0.0
3125,,ARM_CENTERED,0.0,-2.0,-1.8599787950516,160.0,160.0,0.0
3128,,ARM_CENTERED,0.0,-2.0,-1.8577046394348,160.0,160.0,0.0
3130,,ARM_CENTERED,0.0,-2.0,-1.8554985523224,160.0,160.0,0.0
3132,,ARM_CENTERED,0.0,-2.0,-1.853363275528,160.0,160.0,0.0
3135,,ARM_CENTERED,0.0,-2.0,-1.8512989282608,160.0,160.0,0.0
3137,,ARM_CENTERED,0.0,-2.0,-1.8493006229401,160.0,160.0,0.0
3139,,ARM_CENTERED,0.0,-2.0,-1.8473634719849,160.0,160.0,0.0
3141,,ARM_CENTERED,0.0,-2.0,-1.8454842567444,160.0,160.0,0.0
3143,,ARM_CENTERED,0.0,-2.0,-1.8436592817307,160.0,160.0,0.0
3146,,ARM_CENTERED,0.0,-2.0,-1.8418850898743,160.0,160.0,0.0
3148,,ARM_CENTERED,0.0,-2.0,-1.8392734527588,160.0,160.0,0.0
3150,,ARM_CENTERED,0.0,-2.0,-1.8376212120056,160.0,160.0,0.0
3152,,ARM_CENTERED,0.0,-2.0,-1.8360109329224,160.0,160.0,0.0
3154,,ARM_CENTERED,0.0,-2.0,-1.8344407081604,160.0,160.0,0.0
3156,,ARM_CENTERED,0.0,-2.0,-1.8329082727432,160.0,160.0,0.0
3157,,ARM_CENTERED,0.0,-2.0,-1.8314123153687,160.0,160.0,0.0
3159,,ARM_CENTERED,0.0,-2.0,-1.8299518823624,160.0,160.0,0.0
3161,,ARM_CENTERED,0.0,-2.0,-1.8285255432129,160.0,160.0,0.0
3163,,ARM_CENTERED,0.0,-2.0,-1.8271322250366,160.0,160.0,0.0
3165,,ARM_CENTERED,0.0,-2.0,-1.8257706165314,160.0,160.0,0.0
3167,,ARM_CENTERED,0.0,-2.0,-1.82444024086,160.0,160.0,0.0
3168,,ARM_CENTERED,0.0,-2.0,-1.8231403827667,160.0,160.0,0.0
3170,,ARM_CENTERED,0.0,-2.0,-1.8218700885773,160.0,160.0,0.0
3172,,ARM_CENTERED,0.0,-2.0,-1.8206290006638,160.0,160.0,0.0
3174,,ARM_CENTERED,0.0,-2.0,-1.8194160461426,160.0,160.0,0.0
3175,,ARM_CENTERED,0.0,-2.0,-1.8182311058044,160.0,160.0,0.0
3177,,ARM_CENTERED,0.0,-2.0,-1.8170660734177,160.0,160.0,0.0
3179,,ARM_CENTERED,0.0,-2.0,-1.8159220218658,160.0,160.0,0.0
3181,,ARM_CENTERED,0.0,-2.0,-1.8147991895676,160.0,160.0,0.0
3183,,ARM_CENTERED,0.0,-2.0,-1.8136986494064,160.0,160.0,0.0
3185,,ARM_CENTERED,0.0,-2.0,-1.8126207590103,160.0,160.0,0.0
3186,,ARM_CENTERED,0.0,-2.0,-1.8115659952164,160.0,160.0,0.0
3188,,ARM_CENTERED,0.0,-2.0,-1.810534954071,160.0,160.0,0.0
3190,,ARM_CENTERED,0.0,-2.0,-1.8095279932022,160.0,160.0,0.0
3192,,ARM_CENTERED,0.0,-2.0,-1.8085457086563,160.0,160.0,0.0
3194,,ARM_CENTERED,0.0,-2.0,-1.8075885772705,160.0,160.0,0.0
3195,,ARM_CENTERED,0.0,-2.0,-1.8066567182541,160.0,160.0,0.0
3197,,ARM_CENTERED,0.0,-2.0,-1.8057507276535,160.0,160.0,0.0
3199,,ARM_CENTERED,0.0,-2.0,-1.8048708438873,160.0,160.0,0.0
3201,,ARM_CENTERED,0.0,-2.0,-1.8040173053741,160.0,160.0,0.0
3203,,ARM_CENTERED,0.0,-2.0,-1.803190112114,160.0,160.0,0.0
3205,,ARM_CENTERED,0.0,-2.0,-1.8023899793625,160.0,160.0,0.0
3207,,ARM_CENTERED,0.0,-2.0,-1.8016166687012,160.0,160.0,0.0
3209,,ARM_CENTERED,0.0,-2.0,-1.8008708953857,160.0,160.0,0.0
3211,,ARM_CENTERED,0.0,-2.0,-1.8001524209976,160.0,160.0,0.0
3213,,ARM_CENTERED,0.0,-2.0,-1.7994618415833,160.0,160.0,0.0
3215,,ARM_CENTERED,0.0,-2.0,-1.7987993955612,160.0,160.0,0.0
3217,,ARM_CENTERED,0.0,-2.0,-1.7981652021408,160.0,160.0,0.0
3219,,ARM_CENTERED,0.0,-2.0,-1.7975587844849,160.0,160.0,0.0
3221,,ARM_CENTERED,0.0,-2.0,-1.7969810962677,160.0,160.0,0.0
3223,,ARM_CENTERED,0.0,-2.0,-1.7964321374893,160.0,160.0,0.0
3225,,ARM_CENTERED,0.0,-2.0,-1.7959117889404,160.0,160.0,0.0
3227,,ARM_CENTERED,0.0,-2.0,-1.7954206466675,160.0,160.0,0.0
3229,,ARM_CENTERED,0.0,-2.0,-1.7949587106705,160.0,160.0,0.0
3231,,ARM_CENTERED,0.0,-2.0,-1.7945259809494,160.0,160.0,0.0
3233,,ARM_CENTERED,0.0,-2.0,-1.7941226959229,160.0,160.0,0.0
