rank,address_hex,kind,score,base,move_x,move_z,rotate,delta_x,delta_z,delta_rotate
1,0x0005E674,ROTATION_CANDIDATE,32770.0,32768.0,32768.0,32768.0,-2.0,0.0,0.0,32770.0
2,0x000F8AD8,ROTATION_CANDIDATE,20944.92578125,-20249.642578125,-20185.88671875,-20059.275390625,949.40625,63.755859375,190.3671875,21199.048828125
3,0x00079980,ROTATION_CANDIDATE,20941.822265625,20248.990234375,20184.46875,20060.419921875,-945.923828125,64.521484375,188.5703125,21194.9140625
4,0x001052D8,ROTATION_CANDIDATE,20941.822265625,-20248.990234375,-20184.46875,-20060.419921875,945.923828125,64.521484375,188.5703125,21194.9140625
5,0x0007997C,ROTATION_CANDIDATE,20568.557617188,205.322265625,4.3056640625,32.91015625,-20736.6640625,201.0166015625,172.412109375,20941.986328125
6,0x000D2FAC,ROTATION_CANDIDATE,20294.415039063,19032.486328125,18968.736328125,18976.8984375,-1381.2666015625,63.75,55.587890625,20413.752929688
7,0x003B2CAC,ROTATION_CANDIDATE,19907.453125,255.0,255.0,255.0,20162.453125,0.0,0.0,19907.453125
8,0x003B2CB4,ROTATION_CANDIDATE,18686.11151123,204.16461181641,205.25149536133,203.2131652832,18892.314453125,1.0868835449219,0.95144653320313,18688.149841309
9,0x003B2B24,Z_CANDIDATE,17825.978515625,17826.10546875,17825.982421875,0.0,17826.1015625,0.123046875,17826.10546875,0.00390625
10,0x003B2CB8,ROTATION_CANDIDATE,17460.332870483,197.03160095215,196.83921813965,194.9400177002,17659.6484375,0.1923828125,2.0915832519531,17462.616836548
11,0x003B2B14,Z_CANDIDATE,16993.429969788,-107.0022354126,-107.0022354126,16886.427734375,-107.0022354126,0.0,16993.429969788,0.0
12,0x003B2CB0,ROTATION_CANDIDATE,16671.762435913,216.3561706543,216.88708496094,215.62287902832,16889.3828125,0.53091430664063,0.73329162597656,16673.026641846
13,0x003B30BC,Z_CANDIDATE,16244.340332031,0.0,-3235.7475585938,19500.087890625,20.0,3235.7475585938,19500.087890625,20.0
14,0x00285E14,ROTATION_CANDIDATE,14023.015586376,-5.1484661102295,-5016.654296875,-1.7558493614197,-19043.0625,5011.5058307648,3.3926167488098,19037.91403389
15,0x0007995C,ROTATION_CANDIDATE,11540.050292969,11301.989257813,11108.291015625,11180.811523438,-552.93701171875,193.6982421875,121.177734375,11854.926269531
16,0x0007B9F4,Z_CANDIDATE,11089.55847168,10456.258789063,10456.258789063,-1570.7928466797,9518.765625,0.0,12027.051635742,937.4931640625
17,0x0007B9FC,Z_CANDIDATE,10952.018920898,10456.258789063,10456.258789063,-1399.5892333984,9552.4296875,0.0,11855.848022461,903.8291015625
18,0x0007B9F0,Z_CANDIDATE,10776.534179688,17954.974609375,17954.974609375,6997.9462890625,17774.48046875,0.0,10957.028320313,180.494140625
19,0x0007B9F8,Z_CANDIDATE,10435.010742188,18104.77734375,18104.77734375,7443.0751953125,17878.0859375,0.0,10661.702148438,226.69140625
20,0x0005E684,ROTATION_CANDIDATE,10301.0,24548.0,23170.0,11679.0,0.0,1378.0,12869.0,24548.0
21,0x003B2BA8,Z_CANDIDATE,9306.6025390625,9419.8134765625,9419.60546875,113.0,9419.81640625,0.2080078125,9306.8134765625,0.0029296875
22,0x001052D0,ROTATION_CANDIDATE,9272.80078125,16736.619140625,16944.935546875,16803.40625,26284.5234375,208.31640625,66.787109375,9547.904296875
23,0x000F8AD0,ROTATION_CANDIDATE,9271.71875,16735.669921875,16943.259765625,16805.095703125,26284.404296875,207.58984375,69.42578125,9548.734375
24,0x0007994C,ROTATION_CANDIDATE,9143.4111328125,8946.99609375,9076.177734375,8879.60546875,-392.9873046875,129.181640625,67.390625,9339.9833984375
25,0x003B2FAC,X_CANDIDATE,8986.0533447266,0.0,13115.872070313,-2381.2124023438,1748.6063232422,13115.872070313,2381.2124023438,1748.6063232422
26,0x003B32D4,Z_CANDIDATE,8733.2272949219,4711.484375,3790.2526855469,16856.427734375,2221.0,921.23168945313,12144.943359375,2490.484375
27,0x000D2FA4,ROTATION_CANDIDATE,8542.3544921875,-16376.739257813,-16455.84375,-16442.0625,-25063.521484375,79.1044921875,65.3232421875,8686.7822265625
28,0x003B2BCC,Z_CANDIDATE,7772.048828125,17826.10546875,17825.982421875,10053.9296875,17826.1015625,0.123046875,7772.17578125,0.00390625
29,0x003B2BD0,Z_CANDIDATE,6861.6171875,9419.8134765625,9419.60546875,16281.641601563,9419.81640625,0.2080078125,6861.828125,0.0029296875
30,0x002DB568,Z_CANDIDATE,6280.0,0.0,0.0,6280.0,0.0,0.0,6280.0,0.0
31,0x0007996C,ROTATION_CANDIDATE,6130.509765625,25838.693359375,25956.7265625,25768.5703125,19520.02734375,118.033203125,70.123046875,6318.666015625
32,0x00286094,X_CANDIDATE,4920.7573466301,-5.2734661102295,-5016.654296875,-1.7558493614197,-92.379333496094,5011.3808307648,3.5176167488098,87.105867385864
33,0x003B2AF8,Z_CANDIDATE,4304.0,4304.0,4304.0,0.0,4304.0,0.0,4304.0,0.0
34,0x003B32D8,Z_CANDIDATE,4162.9938964844,3946.5837402344,4744.52734375,-1171.9375,3789.0,797.94360351563,5118.5212402344,157.58374023438
35,0x003B3080,Z_CANDIDATE,4055.0,0.0,12.0,4099.0,32.0,12.0,4099.0,32.0
36,0x003B32C8,ROTATION_CANDIDATE,3990.0,0.0,0.0,0.0,3990.0,0.0,0.0,3990.0
37,0x00081634,Z_CANDIDATE,3984.5744628906,-7104.9829101563,-6291.8461914063,-16301.798828125,-2705.8781738281,813.13671875,9196.8159179688,4399.1047363281
38,0x00285E18,ROTATION_CANDIDATE,3665.6464788914,-1.8183531761169,-1734.1396484375,-0.95604300498962,-5400.6484375,1732.3212952614,0.86231017112732,5398.8300843239
39,0x0006D188,X_CANDIDATE,2788.0625,290.6796875,3078.7421875,290.6796875,290.6796875,2788.0625,0.0,0.0
40,0x001F25F8,ROTATION_CANDIDATE,2759.1829833984,-1070.0220947266,579.28601074219,-1070.0220947266,3338.4689941406,1649.3081054688,0.0,4408.4910888672
41,0x0009EB98,ROTATION_CANDIDATE,2688.1284179688,0.0,0.0,0.0,2688.1284179688,0.0,0.0,2688.1284179688
42,0x003B2AFC,Z_CANDIDATE,2272.0,2272.0,2272.0,0.0,2272.0,0.0,2272.0,0.0
43,0x003B32DC,ROTATION_CANDIDATE,2183.0,0.0,127.0,-108.0,2418.0,127.0,108.0,2418.0
