frame,event,state,gate_enabled,armed,memory_remaining,ready_count,invalid_count,screen_x,screen_x_copy,raw_horizontal,normalized,arm_ready,raw_detected,normalized_detected,auto_aim_detected
6085,SAMPLE,IDLE,true,true,0,0,17,159.98107910156,159.98107910156,-0.099308952689171,2.3961067199707e-05,true,false,false,false
6090,SAMPLE,IDLE,true,true,0,0,22,159.99234008789,159.99234008789,-0.040204107761383,-2.3841857910156e-05,true,false,false,false
6095,SAMPLE,CONVERGING,true,true,45,0,27,131.41613769531,131.41613769531,-148.3659362793,0.14887034893036,false,true,true,true
6100,SAMPLE,CONVERGING,true,true,45,0,32,131.76483154297,131.76483154297,-146.59440612793,0.14709663391113,false,true,true,true
6105,SAMPLE,CONVERGING,true,true,45,0,37,132.57695007324,132.57695007324,-142.46430969238,0.14292597770691,false,true,true,true
6110,SAMPLE,CONVERGING,true,true,45,0,42,138.36357116699,138.36357116699,-112.79765319824,0.11306083202362,false,true,true,true
6115,SAMPLE,CONVERGING,true,true,45,0,47,147.61116027832,147.61116027832,-64.844100952148,0.064883589744568,false,true,true,true
6120,SAMPLE,SHOT_READY,true,true,44,1,0,160.69151306152,160.69151306152,3.6275153160095,-0.0035715103149414,true,false,false,false
6121,AUTO_SHOT,FIRED,true,false,43,2,0,160.69151306152,160.69151306152,3.6275153160095,-0.0035715103149414,true,false,false,false
6125,SAMPLE,FIRED,true,false,39,2,4,172.70283508301,172.70283508301,66.495628356934,-0.066513538360596,false,true,true,true
6130,SAMPLE,FIRED,true,false,34,2,9,186.19454956055,186.19454956055,136.13273620605,-0.13659811019897,false,true,true,true
6133,REARMED,IDLE,true,true,0,0,0,192.70408630371,192.70408630371,169.06785583496,-0.16996288299561,false,true,true,true
6135,SAMPLE,CONVERGING,true,true,45,0,2,197.13610839844,197.13610839844,191.18663024902,-0.19244575500488,false,true,true,true
6140,SAMPLE,CONVERGING,true,true,45,0,7,207.75646972656,207.75646972656,243.01821899414,-0.22302961349487,false,true,true,true
6145,SAMPLE,CONVERGING,true,true,45,0,12,212.3519744873,212.3519744873,264.87133789063,-0.26809120178223,false,true,true,true
6150,SAMPLE,CONVERGING,true,true,45,0,17,219.32855224609,219.32855224609,297.23449707031,-0.30183935165405,false,true,true,true
6155,SAMPLE,CONVERGING,true,true,45,0,22,184.00239562988,184.00239562988,124.98609924316,-0.12528514862061,false,true,true,true
6160,SAMPLE,CONVERGING,true,true,45,0,27,169.71058654785,169.71058654785,50.900894165039,-0.050885677337646,false,true,true,true
6165,SAMPLE,CONVERGING,true,true,45,0,32,163.92858886719,163.92858886719,20.615333557129,-0.020541191101074,false,true,true,true
6167,AUTO_SHOT,FIRED,true,false,44,2,0,162.49879455566,162.49879455566,13.114133834839,-0.013062953948975,true,false,false,false
6170,SAMPLE,FIRED,true,false,41,2,3,161.84811401367,161.84811401367,9.6996231079102,-0.0096116065979004,true,false,false,false
6175,SAMPLE,FIRED,true,false,36,2,8,160.86940002441,160.86940002441,4.5631184577942,-0.0044822692871094,true,false,false,false
6179,REARMED,IDLE,true,true,0,0,0,160.47557067871,160.47557067871,2.4960906505585,-0.0024209022521973,true,false,false,false
6180,SAMPLE,IDLE,true,true,0,0,1,160.47557067871,160.47557067871,2.4960906505585,-0.0024209022521973,true,false,false,false
6185,SAMPLE,IDLE,true,true,0,0,6,160.26014709473,160.26014709473,1.3654166460037,-0.0013184547424316,true,false,false,false
6190,SAMPLE,IDLE,true,true,0,0,11,160.1423034668,160.1423034668,0.74689924716949,-0.00069522857666016,true,false,false,false
6195,SAMPLE,IDLE,true,true,0,0,16,160.07783508301,160.07783508301,0.4085282087326,-0.00035953521728516,true,false,false,false
6200,SAMPLE,IDLE,true,true,0,0,21,160.03149414063,160.03149414063,0.1653013676405,-0.00011968612670898,true,false,false,false
6205,SAMPLE,IDLE,true,true,0,0,26,160.01274108887,160.01274108887,0.066873371601105,-2.3841857910156e-05,true,false,false,false
6210,SAMPLE,IDLE,true,true,0,0,31,160.0059967041,160.0059967041,0.031474530696869,2.3961067199707e-05,true,false,false,false
6215,SAMPLE,IDLE,true,true,0,0,36,160.00328063965,160.00328063965,0.017218889668584,-2.3841857910156e-05,true,false,false,false
6220,SAMPLE,IDLE,true,true,0,0,41,160.0015411377,160.0015411377,0.0080888736993074,-2.3841857910156e-05,true,false,false,false
6225,SAMPLE,IDLE,true,true,0,0,46,160.00062561035,160.00062561035,0.003283602418378,-2.3841857910156e-05,true,false,false,false
6230,SAMPLE,IDLE,true,true,0,0,51,160.00025939941,160.00025939941,0.0013614937197417,-2.3841857910156e-05,true,false,false,false
6235,SAMPLE,IDLE,true,true,0,0,56,160.00012207031,160.00012207031,0.00064070289954543,-2.3841857910156e-05,true,false,false,false
6240,SAMPLE,IDLE,true,true,0,0,61,160.00006103516,160.00006103516,0.00032035144977272,-2.3841857910156e-05,true,false,false,false
6245,SAMPLE,IDLE,true,true,0,0,66,160.00001525879,160.00001525879,8.0087862443179e-05,-2.3841857910156e-05,true,false,false,false
6250,SAMPLE,IDLE,true,true,0,0,71,160.00001525879,160.00001525879,8.0087862443179e-05,-2.3841857910156e-05,true,false,false,false
6255,SAMPLE,IDLE,true,true,0,0,76,160.0,160.0,0.0,0.0,true,false,false,false
6260,SAMPLE,IDLE,true,true,0,0,81,160.0,160.0,0.0,0.0,true,false,false,false
6265,SAMPLE,IDLE,true,true,0,0,86,160.0,160.0,0.0,0.0,true,false,false,false
6270,SAMPLE,IDLE,true,true,0,0,91,160.0,160.0,0.0,0.0,true,false,false,false
6275,SAMPLE,CONVERGING,true,true,45,0,96,177.4693145752,177.4693145752,91.307106018066,-0.091392993927002,false,true,true,true
6280,SAMPLE,CONVERGING,true,true,45,0,101,183.78567504883,183.78567504883,123.60266876221,-0.12418222427368,false,true,true,true
6285,SAMPLE,CONVERGING,true,true,45,0,106,148.72268676758,148.72268676758,-58.792022705078,0.059083223342896,false,true,true,true
6290,SAMPLE,CONVERGING,true,true,45,0,111,128.11898803711,128.11898803711,-164.05108642578,0.16574430465698,false,true,true,true
6295,SAMPLE,CONVERGING,true,true,45,0,116,117.81402587891,117.81402587891,-214.91746520996,0.21785259246826,false,true,true,true
6300,SAMPLE,CONVERGING,true,true,45,0,121,112.77992248535,112.77992248535,-239.35632324219,0.24292397499084,false,true,true,true
6305,SAMPLE,CONVERGING,true,true,45,0,126,109.84492492676,109.84492492676,-253.56207275391,0.25740110874176,false,true,true,true
6310,SAMPLE,CONVERGING,true,true,45,0,131,107.70384979248,107.70384979248,-263.85189819336,0.26785147190094,false,true,true,true
6315,SAMPLE,CONVERGING,true,true,45,0,136,106.29133605957,106.29133605957,-270.57934570313,0.27475452423096,false,true,true,true
6320,SAMPLE,CONVERGING,true,true,45,0,141,104.67555236816,104.67555236816,-278.18090820313,0.28256833553314,false,true,true,true
6325,SAMPLE,CONVERGING,true,true,45,0,146,102.76574707031,102.76574707031,-287.02270507813,0.29182028770447,false,true,true,true
6330,SAMPLE,CONVERGING,true,true,45,0,151,99.938911437988,99.938911437988,-299.95919799805,0.30533874034882,false,true,true,true
6335,SAMPLE,CONVERGING,true,true,45,0,156,98.42813873291,98.42813873291,-306.77319335938,0.31252944469452,false,true,true,true
6340,SAMPLE,CONVERGING,true,true,45,0,161,94.95662689209,94.95662689209,-322.18954467773,0.32897198200226,false,true,true,true
6345,SAMPLE,CONVERGING,true,true,45,0,166,90.681289672852,90.681289672852,-340.83737182617,0.34891414642334,false,true,true,true
6350,SAMPLE,CONVERGING,true,true,45,0,171,131.9559173584,131.9559173584,-145.54151916504,0.22739219665527,false,true,true,true
6355,SAMPLE,CONVERGING,true,true,45,0,176,142.1623840332,142.1623840332,-93.193885803223,0.093310594558716,false,true,true,true
6360,SAMPLE,CONVERGING,true,true,45,0,181,152.78349304199,152.78349304199,-37.848239898682,0.037798881530762,false,true,true,true
6365,SAMPLE,CONVERGING,true,true,45,0,186,156.05250549316,156.05250549316,-20.714286804199,0.020637154579163,false,true,true,true
6367,AUTO_SHOT,FIRED,true,false,43,2,0,157.48918151855,157.48918151855,-13.177173614502,0.013110995292664,true,false,false,false
6370,SAMPLE,FIRED,true,false,40,2,3,158.40296936035,158.40296936035,-8.3819274902344,0.008317232131958,true,false,false,false
6375,SAMPLE,FIRED,true,false,35,2,8,159.44435119629,159.44435119629,-2.9163868427277,0.002852201461792,true,false,false,false
6379,REARMED,IDLE,true,true,0,0,0,159.64657592773,159.64657592773,-1.8549919128418,0.0017976760864258,true,false,false,false
6380,SAMPLE,IDLE,true,true,0,0,1,159.77520751953,159.77520751953,-1.1798535585403,0.0017976760864258,true,false,false,false
6385,SAMPLE,IDLE,true,true,0,0,6,159.8570098877,159.8570098877,-0.75050318241119,0.00069510936737061,true,false,false,false
6390,SAMPLE,CONVERGING,true,true,45,0,11,142.47283935547,142.47283935547,-91.606910705566,0.091680765151978,false,true,true,true
6395,SAMPLE,CONVERGING,true,true,45,0,16,126.69595336914,126.69595336914,-172.17761230469,0.16291606426239,false,true,true,true
6400,SAMPLE,CONVERGING,true,true,45,0,21,124.87721252441,124.87721252441,-181.24769592285,0.18228280544281,false,true,true,true
6405,SAMPLE,CONVERGING,true,true,45,0,26,121.99002075195,121.99002075195,-195.51069641113,0.19685590267181,false,true,true,true
6410,SAMPLE,CONVERGING,true,true,45,0,31,119.96705627441,119.96705627441,-205.42691040039,0.20701861381531,false,true,true,true
6415,SAMPLE,CONVERGING,true,true,45,0,36,118.85651397705,118.85651397705,-210.84255981445,0.21262729167938,false,true,true,true
6420,SAMPLE,CONVERGING,true,true,45,0,41,118.25297546387,118.25297546387,-213.77430725098,0.21564745903015,false,true,true,true
6425,SAMPLE,CONVERGING,true,true,45,0,46,117.79415893555,117.79415893555,-215.98806762695,0.21794843673706,false,true,true,true
6430,SAMPLE,CONVERGING,true,true,45,0,51,117.54193115234,117.54193115234,-217.20463562012,0.219242811203,false,true,true,true
6435,SAMPLE,CONVERGING,true,true,45,0,56,117.06286621094,117.06286621094,-219.51525878906,0.22159171104431,false,true,true,true
6440,SAMPLE,CONVERGING,true,true,45,0,61,116.61600494385,116.61600494385,-221.67056274414,0.22389280796051,false,true,true,true
6445,SAMPLE,CONVERGING,true,true,45,0,66,117.17976379395,117.17976379395,-218.92549133301,0.22106432914734,false,true,true,true
6450,SAMPLE,CONVERGING,true,true,45,0,71,117.81676483154,117.81676483154,-215.80546569824,0.21785259246826,false,true,true,true
6455,SAMPLE,CONVERGING,true,true,45,0,76,117.64088439941,117.64088439941,-216.59780883789,0.21871542930603,false,true,true,true
6460,SAMPLE,CONVERGING,true,true,45,0,81,117.24161529541,117.24161529541,-218.47550964355,0.22072875499725,false,true,true,true
6465,SAMPLE,CONVERGING,true,true,45,0,86,116.31525421143,116.31525421143,-222.84646606445,0.22533082962036,false,true,true,true
6470,SAMPLE,CONVERGING,true,true,45,0,91,114.98760986328,114.98760986328,-229.02137756348,0.23194622993469,false,true,true,true
6475,SAMPLE,CONVERGING,true,true,45,0,96,113.61346435547,113.61346435547,-235.04801940918,0.23880136013031,false,true,true,true
6480,SAMPLE,CONVERGING,true,true,45,0,101,112.36795043945,112.36795043945,-239.96290588379,0.24498522281647,false,true,true,true
6485,SAMPLE,CONVERGING,true,true,45,0,106,111.08654785156,111.08654785156,-244.39524841309,0.25131297111511,false,true,true,true
6490,SAMPLE,CONVERGING,true,true,45,0,111,110.54449462891,110.54449462891,-246.08601379395,0.25394952297211,false,true,true,true
6495,SAMPLE,CONVERGING,true,true,45,0,116,109.51177978516,109.51177978516,-249.40913391113,0.2590309381485,false,true,true,true
6500,SAMPLE,CONVERGING,true,true,45,0,121,109.0728302002,109.0728302002,-250.79028320313,0.26118814945221,false,true,true,true
6505,SAMPLE,CONVERGING,true,true,45,0,126,109.54759216309,109.54759216309,-248.56538391113,0.2588392496109,false,true,true,true
6510,SAMPLE,CONVERGING,true,true,45,0,131,110.40295410156,110.40295410156,-244.85824584961,0.25462079048157,false,true,true,true
6515,SAMPLE,CONVERGING,true,true,45,0,136,111.33724975586,111.33724975586,-240.76084899902,0.25001871585846,false,true,true,true
6520,SAMPLE,CONVERGING,true,true,45,0,141,111.77879333496,111.77879333496,-238.837890625,0.24786162376404,false,true,true,true
6525,SAMPLE,CONVERGING,true,true,45,0,146,112.01982879639,112.01982879639,-237.79443359375,0.24666309356689,false,true,true,true
6530,SAMPLE,CONVERGING,true,true,45,0,151,112.33207702637,112.33207702637,-236.40841674805,0.24512898921967,false,true,true,true
6535,SAMPLE,CONVERGING,true,true,45,0,156,112.6206817627,112.6206817627,-235.11656188965,0.24369096755981,false,true,true,true
6540,SAMPLE,CONVERGING,true,true,45,0,161,112.8363494873,112.8363494873,-234.15635681152,0.24335539340973,false,true,true,true
6545,SAMPLE,CONVERGING,true,true,45,0,166,113.01739501953,113.01739501953,-233.34103393555,0.24177348613739,false,true,true,true
6550,SAMPLE,CONVERGING,true,true,45,0,171,113.39105224609,113.39105224609,-231.61085510254,0.23990392684937,false,true,true,true
6555,SAMPLE,CONVERGING,true,true,45,0,176,113.51762390137,113.51762390137,-231.22807312012,0.23928070068359,false,true,true,true
6560,SAMPLE,CONVERGING,true,true,45,0,181,113.5767288208,113.5767288208,-232.11206054688,0.2389931678772,false,true,true,true
6565,SAMPLE,CONVERGING,true,true,45,0,186,113.23857116699,113.23857116699,-234.39543151855,0.24067091941833,false,true,true,true
6570,SAMPLE,CONVERGING,true,true,45,0,191,111.25639343262,111.25639343262,-245.24798583984,0.25045013427734,false,true,true,true
6575,SAMPLE,CONVERGING,true,true,45,0,196,110.10082244873,110.10082244873,-251.19091796875,0.25610685348511,false,true,true,true
6580,SAMPLE,CONVERGING,true,true,45,0,201,107.96413421631,107.96413421631,-261.93728637695,0.26660513877869,false,true,true,true
6585,SAMPLE,CONVERGING,true,true,45,0,206,107.15905761719,107.15905761719,-265.89288330078,0.27053606510162,false,true,true,true
6590,SAMPLE,CONVERGING,true,true,45,0,211,106.34683227539,106.34683227539,-269.81451416016,0.27446687221527,false,true,true,true
6595,SAMPLE,CONVERGING,true,true,45,0,216,105.40347290039,105.40347290039,-274.27883911133,0.27906894683838,false,true,true,true
6600,SAMPLE,CONVERGING,true,true,45,0,221,104.94136047363,104.94136047363,-276.43493652344,0.28127408027649,false,true,true,true
6605,SAMPLE,CONVERGING,true,true,45,0,226,104.72206115723,104.72206115723,-277.45077514648,0.28237664699554,false,true,true,true
6610,SAMPLE,CONVERGING,true,true,45,0,231,104.45013427734,104.45013427734,-278.69613647461,0.2836709022522,false,true,true,true
6615,SAMPLE,CONVERGING,true,true,45,0,236,104.34425354004,104.34425354004,-279.18170166016,0.28415024280548,false,true,true,true
6620,SAMPLE,CONVERGING,true,true,45,0,241,104.19185638428,104.19185638428,-279.87338256836,0.28491723537445,false,true,true,true
6625,SAMPLE,CONVERGING,true,true,45,0,246,104.1584777832,104.1584777832,-280.02026367188,0.28510904312134,false,true,true,true
6630,SAMPLE,CONVERGING,true,true,45,0,251,104.09088134766,104.09088134766,-280.31848144531,0.28539669513702,false,true,true,true
6635,SAMPLE,CONVERGING,true,true,45,0,256,104.05805206299,104.05805206299,-280.46444702148,0.28554046154022,false,true,true,true
6640,SAMPLE,CONVERGING,true,true,45,0,261,103.85893249512,103.85893249512,-281.36608886719,0.28649926185608,false,true,true,true
6645,SAMPLE,CONVERGING,true,true,45,0,266,137.28715515137,137.28715515137,-118.2786026001,0.11862170696259,false,true,true,true
6650,SAMPLE,CONVERGING,true,true,45,0,271,145.55335998535,145.55335998535,-75.583442687988,0.075621604919434,false,true,true,true
6655,SAMPLE,CONVERGING,true,true,45,0,276,154.15536499023,154.15536499023,-30.660305023193,0.030608177185059,false,true,true,true
6660,SAMPLE,SHOT_READY,true,true,41,1,0,157.63545227051,157.63545227051,-12.40959072113,0.012344002723694,true,false,false,false
6661,AUTO_SHOT,FIRED,true,false,40,2,0,157.63545227051,157.63545227051,-12.40959072113,0.012344002723694,true,false,false,false
6665,SAMPLE,FIRED,true,false,36,2,4,158.49601745605,158.49601745605,-7.8935866355896,0.0078377723693848,true,false,false,false
6670,SAMPLE,FIRED,true,false,31,2,9,159.47671508789,159.47671508789,-2.7465217113495,0.0026605129241943,true,false,false,false
6673,REARMED,IDLE,true,true,0,0,0,159.47671508789,159.47671508789,-2.7465217113495,0.0026605129241943,true,false,false,false
6675,SAMPLE,CONVERGING,true,true,45,0,2,137.87362670898,137.87362670898,-115.30019378662,0.11555373668671,false,true,true,true
6680,SAMPLE,CONVERGING,true,true,45,0,7,115.416015625,115.416015625,-227.53820800781,0.22983694076538,false,true,true,true
6685,SAMPLE,CONVERGING,true,true,45,0,12,109.93251037598,109.93251037598,-253.80307006836,0.25692176818848,false,true,true,true
6690,SAMPLE,CONVERGING,true,true,45,0,17,104.29718017578,104.29718017578,-280.31604003906,0.28438997268677,false,true,true,true
6695,SAMPLE,CONVERGING,true,true,45,0,22,102.51707458496,102.51707458496,-288.62594604492,0.29297077655792,false,true,true,true
6700,SAMPLE,CONVERGING,true,true,45,0,27,102.41893768311,102.41893768311,-289.10382080078,0.29345011711121,false,true,true,true
6705,SAMPLE,CONVERGING,true,true,45,0,32,102.54871368408,102.54871368408,-288.55056762695,0.29282701015472,false,true,true,true
6710,SAMPLE,CONVERGING,true,true,45,0,37,136.75709533691,136.75709533691,-121.08470916748,0.12135410308838,false,true,true,true
6715,SAMPLE,CONVERGING,true,true,45,0,42,145.21620178223,145.21620178223,-77.359359741211,0.07739531993866,false,true,true,true
6720,SAMPLE,CONVERGING,true,true,45,0,47,154.0189666748,154.0189666748,-31.376630783081,0.031327247619629,false,true,true,true
6725,SAMPLE,SHOT_READY,true,true,42,1,0,157.58026123047,157.58026123047,-12.69929599762,0.01263165473938,true,false,false,false
6726,AUTO_SHOT,FIRED,true,false,41,2,0,157.58026123047,157.58026123047,-12.69929599762,0.01263165473938,true,false,false,false
6730,SAMPLE,FIRED,true,false,37,2,4,158.46090698242,158.46090698242,-8.0778760910034,0.008029580116272,true,false,false,false
6735,SAMPLE,FIRED,true,false,32,2,9,159.37733459473,159.37733459473,-3.2681279182434,0.0032356977462769,true,false,false,false
6738,REARMED,IDLE,true,true,0,0,0,159.60395812988,159.60395812988,-2.0786762237549,0.0020372867584229,true,false,false,false
6740,SAMPLE,CONVERGING,true,true,45,0,2,140.21095275879,140.21095275879,-103.30979156494,0.10347330570221,false,true,true,true
6745,SAMPLE,CONVERGING,true,true,45,0,7,119.90147399902,119.90147399902,-205.95080566406,0.20740211009979,false,true,true,true
6750,SAMPLE,CONVERGING,true,true,45,0,12,111.68240356445,111.68240356445,-245.8199005127,0.24834096431732,false,true,true,true
6755,SAMPLE,CONVERGING,true,true,45,0,17,108.35723876953,108.35723876953,-261.6139831543,0.26468765735626,false,true,true,true
6760,SAMPLE,CONVERGING,true,true,45,0,22,107.53498077393,107.53498077393,-265.48794555664,0.26866638660431,false,true,true,true
6765,SAMPLE,CONVERGING,true,true,45,0,27,106.62321472168,106.62321472168,-269.76870727539,0.27312469482422,false,true,true,true
6770,SAMPLE,CONVERGING,true,true,45,0,32,126.07219696045,126.07219696045,-175.31675720215,0.17619466781616,false,true,true,true
6775,SAMPLE,CONVERGING,true,true,45,0,37,146.27392578125,146.27392578125,-71.856971740723,0.071882486343384,false,true,true,true
6780,SAMPLE,CONVERGING,true,true,45,0,42,154.44688415527,154.44688415527,-29.133926391602,0.029074192047119,false,true,true,true
6785,SAMPLE,CONVERGING,true,true,43,0,47,156.96240234375,156.96240234375,-15.941226005554,0.015891313552856,false,false,false,false
6787,AUTO_SHOT,FIRED,true,false,41,2,0,158.06791687012,158.06791687012,-10.140284538269,0.010090827941895,true,false,false,false
6790,SAMPLE,FIRED,true,false,38,2,3,158.77108764648,158.77108764648,-6.4499826431274,0.0063997507095337,true,false,false,false
6795,SAMPLE,FIRED,true,false,33,2,8,159.50282287598,159.50282287598,-2.6094942092896,0.0025646686553955,true,false,false,false
6799,REARMED,IDLE,true,true,0,0,0,139.09262084961,139.09262084961,-109.06887817383,0.10927379131317,false,true,true,true
6800,SAMPLE,AUTO_AIM_DETECTED,true,true,45,0,1,125.96003723145,125.96003723145,-175.80526733398,0.17677009105682,false,true,true,true
6805,SAMPLE,CONVERGING,true,true,45,0,6,117.5154876709,117.5154876709,-217.44094848633,0.2193386554718,false,true,true,true
6810,SAMPLE,CONVERGING,true,true,45,0,11,108.43170166016,108.43170166016,-260.67248535156,0.26430416107178,false,true,true,true
6815,SAMPLE,CONVERGING,true,true,45,0,16,104.47375488281,104.47375488281,-278.74588012695,0.2835750579834,false,true,true,true
6820,SAMPLE,CONVERGING,true,true,45,0,21,102.73795318604,102.73795318604,-286.48001098633,0.29191613197327,false,true,true,true
6825,SAMPLE,CONVERGING,true,true,45,0,26,102.23574829102,102.23574829102,-288.69177246094,0.29436111450195,false,true,true,true
6830,SAMPLE,CONVERGING,true,true,45,0,31,102.56770324707,102.56770324707,-287.22085571289,0.29277908802032,false,true,true,true
6835,SAMPLE,CONVERGING,true,true,45,0,36,103.205078125,103.205078125,-284.38079833984,0.28966319561005,false,true,true,true
6840,SAMPLE,CONVERGING,true,true,45,0,41,103.38049316406,103.38049316406,-283.59854125977,0.28884816169739,false,true,true,true
6845,SAMPLE,CONVERGING,true,true,45,0,46,103.67961120605,103.67961120605,-282.25143432617,0.28736221790314,false,true,true,true
