category,score,address_hex,address_dec,baseline,hit,dead
DEATH_ONLY,100,0x0005ED39,388409,46,46,45
DEATH_ONLY,100,0x0005ED3A,388410,27,27,237
DEATH_ONLY,100,0x0005ED55,388437,62,62,61
DEATH_ONLY,100,0x0005ED69,388457,45,45,46
DEATH_ONLY,100,0x0005ED6D,388461,62,62,63
DEATH_ONLY,100,0x0005F2F2,389874,237,237,236
DEATH_ONLY,100,0x0005F30E,389902,236,236,237
DEATH_ONLY,100,0x0005F30F,389903,208,208,48
DEATH_ONLY,100,0x0005F312,389906,236,236,237
DEATH_ONLY,100,0x0005F313,389907,232,232,72
DEATH_ONLY,100,0x0005F316,389910,237,237,236
DEATH_ONLY,100,0x0005F317,389911,0,0,208
DEATH_ONLY,100,0x0005F352,389970,236,236,237
DEATH_ONLY,100,0x0005F356,389974,236,236,237
DEATH_ONLY,100,0x0005F357,389975,208,208,24
DEATH_ONLY,100,0x0005F35A,389978,236,236,237
DEATH_ONLY,100,0x0005F35B,389979,232,232,48
DEATH_ONLY,100,0x0005F35E,389982,237,237,236
DEATH_ONLY,100,0x0005F35F,389983,0,0,208
DEATH_ONLY,100,0x0005F372,390002,236,236,237
DEATH_ONLY,100,0x0005F373,390003,208,208,24
DEATH_ONLY,100,0x0005F376,390006,236,236,237
DEATH_ONLY,100,0x0005F377,390007,232,232,48
DEATH_ONLY,100,0x0005F387,390023,208,208,232
DEATH_ONLY,100,0x0005F39A,390042,236,236,237
DEATH_ONLY,100,0x0005F39E,390046,236,236,237
DEATH_ONLY,100,0x0005F3A2,390050,236,236,237
DEATH_ONLY,100,0x0005F3AA,390058,237,237,236
DEATH_ONLY,100,0x0005F3AE,390062,236,236,237
DEATH_ONLY,100,0x0005F3AF,390063,208,208,0
DEATH_ONLY,100,0x0005F3B2,390066,236,236,237
DEATH_ONLY,100,0x0005F3B3,390067,232,232,24
DEATH_ONLY,100,0x0005F3B7,390071,0,0,48
DEATH_ONLY,100,0x0005F3BE,390078,236,236,237
DEATH_ONLY,100,0x0005F3C7,390087,208,208,232
DEATH_ONLY,100,0x0005F3CB,390091,232,232,208
DEATH_ONLY,100,0x0005F3CE,390094,237,237,236
DEATH_ONLY,100,0x0005F3CF,390095,0,0,232
DEATH_ONLY,100,0x0005F458,390232,231,231,247
DEATH_ONLY,100,0x0005F45D,390237,0,0,37
DEATH_ONLY,100,0x0005F45F,390239,0,0,37
DEATH_ONLY,100,0x0005F460,390240,247,247,246
DEATH_ONLY,100,0x0005F461,390241,0,0,13
DEATH_ONLY,100,0x0005F462,390242,0,0,64
DEATH_ONLY,100,0x0005F463,390243,0,0,80
DEATH_ONLY,100,0x0005F464,390244,248,248,0
DEATH_ONLY,100,0x0005F465,390245,1,1,12
DEATH_ONLY,100,0x0005F466,390246,248,248,128
DEATH_ONLY,100,0x0005F467,390247,1,1,68
DEATH_ONLY,100,0x0005F468,390248,246,246,231
DEATH_ONLY,100,0x0005F469,390249,18,18,0
DEATH_ONLY,100,0x0005F46B,390251,76,76,0
DEATH_ONLY,100,0x0005F46F,390255,72,72,0
DEATH_ONLY,100,0x0005F470,390256,231,231,247
DEATH_ONLY,100,0x0005F474,390260,0,0,248
DEATH_ONLY,100,0x0005F475,390261,0,0,1
DEATH_ONLY,100,0x0005F476,390262,0,0,248
DEATH_ONLY,100,0x0005F477,390263,0,0,1
DEATH_ONLY,100,0x0005F478,390264,247,247,246
DEATH_ONLY,100,0x0005F479,390265,0,0,16
DEATH_ONLY,100,0x0005F47A,390266,0,0,192
DEATH_ONLY,100,0x0005F47B,390267,0,0,76
DEATH_ONLY,100,0x0005F47D,390269,37,37,13
DEATH_ONLY,100,0x0005F47E,390270,0,0,64
DEATH_ONLY,100,0x0005F47F,390271,37,37,72
DEATH_ONLY,100,0x0005F480,390272,246,246,231
DEATH_ONLY,100,0x0005F481,390273,18,18,0
DEATH_ONLY,100,0x0005F483,390275,80,80,0
DEATH_ONLY,100,0x0005F485,390277,18,18,0
DEATH_ONLY,100,0x0005F487,390279,68,68,0
DEATH_ONLY,100,0x0005F499,390297,27,27,23
DEATH_ONLY,100,0x0005F49D,390301,18,18,16
DEATH_ONLY,100,0x0005F4A8,390312,231,231,247
DEATH_ONLY,100,0x0005F4AD,390317,0,0,37
DEATH_ONLY,100,0x0005F4AF,390319,0,0,37
DEATH_ONLY,100,0x0005F4B0,390320,247,247,246
DEATH_ONLY,100,0x0005F4B1,390321,0,0,24
DEATH_ONLY,100,0x0005F4B2,390322,0,0,128
DEATH_ONLY,100,0x0005F4B3,390323,0,0,80
DEATH_ONLY,100,0x0005F4B5,390325,37,37,23
DEATH_ONLY,100,0x0005F4B6,390326,0,0,128
DEATH_ONLY,100,0x0005F4B7,390327,37,37,68
DEATH_ONLY,100,0x0005F4B8,390328,246,246,231
DEATH_ONLY,100,0x0005F4B9,390329,12,12,0
DEATH_ONLY,100,0x0005F4BA,390330,128,128,0
DEATH_ONLY,100,0x0005F4BB,390331,108,108,0
DEATH_ONLY,100,0x0005F4BD,390333,12,12,0
DEATH_ONLY,100,0x0005F4BE,390334,128,128,0
DEATH_ONLY,100,0x0005F4BF,390335,96,96,0
DEATH_ONLY,100,0x0005F4C0,390336,231,231,247
DEATH_ONLY,100,0x0005F4C4,390340,0,0,248
DEATH_ONLY,100,0x0005F4C5,390341,0,0,1
DEATH_ONLY,100,0x0005F4C6,390342,0,0,248
DEATH_ONLY,100,0x0005F4C7,390343,0,0,1
DEATH_ONLY,100,0x0005F4C8,390344,231,231,246
DEATH_ONLY,100,0x0005F4C9,390345,0,0,29
DEATH_ONLY,100,0x0005F4CA,390346,0,0,192
DEATH_ONLY,100,0x0005F4CB,390347,0,0,76
DEATH_ONLY,100,0x0005F4CD,390349,0,0,24
DEATH_ONLY,100,0x0005F4CE,390350,0,0,128
DEATH_ONLY,100,0x0005F4CF,390351,0,0,72
DEATH_ONLY,100,0x0005F4D0,390352,247,247,231
DEATH_ONLY,100,0x0005F4D4,390356,216,216,0
DEATH_ONLY,100,0x0005F4D5,390357,1,1,0
DEATH_ONLY,100,0x0005F4D6,390358,216,216,0
DEATH_ONLY,100,0x0005F4D7,390359,1,1,0
DEATH_ONLY,100,0x0005F4D8,390360,246,246,231
DEATH_ONLY,100,0x0005F4D9,390361,18,18,0
DEATH_ONLY,100,0x0005F4DB,390363,108,108,0
DEATH_ONLY,100,0x0005F4DD,390365,18,18,0
DEATH_ONLY,100,0x0005F4DF,390367,96,96,0
DEATH_ONLY,100,0x0005F4E0,390368,231,231,247
DEATH_ONLY,100,0x0005F4E5,390373,0,0,37
DEATH_ONLY,100,0x0005F4E7,390375,0,0,37
DEATH_ONLY,100,0x0005F4E8,390376,231,231,246
DEATH_ONLY,100,0x0005F4E9,390377,0,0,18
DEATH_ONLY,100,0x0005F4EB,390379,0,0,108
DEATH_ONLY,100,0x0005F4ED,390381,0,0,18
DEATH_ONLY,100,0x0005F4EF,390383,0,0,96
DEATH_ONLY,100,0x0005F4F0,390384,247,247,231
DEATH_ONLY,100,0x0005F4F5,390389,37,37,0
DEATH_ONLY,100,0x0005F4F7,390391,37,37,0
DEATH_ONLY,100,0x0005F4F8,390392,246,246,231
DEATH_ONLY,100,0x0005F4F9,390393,23,23,0
