GoldenEyeDiagnostic 0.0.3
CSV: .\demonstrations\session-20260727-234451-frames.csv
Frames uteis: 1003
replay_index,emu_frame,source_relative_frame,event
389,3221,660,
390,3222,661,
391,3223,662,
392,3224,663,
393,3225,664,
394,3226,665,
395,3227,666,
396,3228,667,
397,3229,668,
398,3230,669,
399,3231,670,
400,3232,671,
401,3233,672,
402,3234,673,
403,3235,674,
404,3236,675,
405,3237,676,
406,3238,677,
407,3239,678,
408,3240,679,
409,3241,680,
410,3242,681,
411,3243,682,
412,3244,683,
413,3245,684,
414,3246,685,
415,3247,686,
416,3248,687,
417,3249,688,
418,3250,689,
419,3251,690,
420,3252,691,
421,3253,692,
422,3254,693,
423,3255,694,
424,3256,695,
425,3257,696,
426,3258,697,
427,3259,698,
428,3260,699,
429,3261,700,
430,3262,701,
431,3263,702,
432,3264,703,
433,3265,704,
434,3266,705,
435,3267,706,
436,3268,707,
437,3269,708,
438,3270,709,
439,3271,710,
440,3272,711,
441,3273,712,
442,3274,713,
443,3275,714,
444,3276,715,
445,3277,716,
446,3278,717,
447,3279,718,
448,3280,719,
449,3281,720,
450,3282,721,
451,3283,722,
452,3284,723,
453,3285,724,
454,3286,725,
455,3287,726,
456,3288,727,
457,3289,728,
458,3290,729,
459,3291,730,
460,3292,731,
461,3293,732,
462,3294,733,
463,3295,734,
464,3296,735,
465,3297,736,
466,3298,737,
467,3299,738,
468,3300,739,
469,3301,740,
470,3302,741,
471,3303,742,
472,3304,743,
473,3305,744,
474,3306,745,
475,3307,746,
476,3308,747,
477,3309,748,
478,3310,749,
479,3311,750,
480,3312,751,
481,3313,752,
482,3314,753,
483,3315,754,
484,3316,755,
485,3317,756,
486,3318,757,
487,3319,758,
488,3320,759,
489,3321,760,
490,3322,761,
491,3323,762,
492,3324,763,
493,3325,764,
494,3326,765,
495,3327,766,
496,3328,767,
497,3329,768,
498,3330,769,
499,3331,770,
500,3332,771,
501,3333,772,
502,3334,773,
503,3335,774,
504,3336,775,
505,3337,776,
506,3338,777,
507,3339,778,
508,3340,779,
509,3341,780,
510,3342,781,
511,3343,782,
512,3344,783,
513,3345,784,
514,3346,785,
515,3347,786,
516,3348,787,
517,3349,788,
518,3350,789,
519,3351,790,
520,3352,791,
521,3353,792,
522,3354,793,
523,3355,794,
524,3356,795,
525,3357,796,
526,3358,797,
527,3359,798,
528,3360,799,
529,3361,800,
530,3362,801,
531,3363,802,
532,3364,803,
533,3365,804,
534,3366,805,
535,3367,806,
536,3368,807,
537,3369,808,
538,3370,809,
539,3371,810,
540,3372,811,
541,3373,812,
542,3374,813,
543,3375,814,
544,3376,815,
545,3377,816,
546,3378,817,
547,3379,818,
548,3380,819,
549,3381,820,
550,3382,821,
551,3383,822,
552,3384,823,
553,3385,824,
554,3386,825,
555,3387,826,
556,3388,827,
557,3389,828,
558,3390,829,
559,3391,830,
560,3392,831,
561,3393,832,
562,3394,833,
563,3395,834,
564,3396,835,
565,3397,836,
566,3398,837,
567,3399,838,
568,3400,839,
569,3401,840,
570,3402,841,
571,3403,842,
572,3404,843,
573,3405,844,
574,3406,845,
575,3407,846,
576,3408,847,
577,3409,848,
578,3410,849,
579,3411,850,
580,3412,851,
581,3413,852,
582,3414,853,
583,3415,854,
584,3416,855,
585,3417,856,
586,3418,857,
587,3419,858,
588,3420,859,
589,3421,860,
590,3422,861,
591,3423,862,
592,3424,863,
593,3425,864,
594,3426,865,
595,3427,866,
596,3428,867,
597,3429,868,
598,3430,869,
599,3431,870,
600,3432,871,
601,3433,872,
602,3434,873,
603,3435,874,
604,3436,875,
605,3437,876,
606,3438,877,
607,3439,878,
608,3440,879,
609,3441,880,
610,3442,881,
611,3443,882,
612,3444,883,
613,3445,884,
614,3446,885,
615,3447,886,
616,3448,887,
617,3449,888,
618,3450,889,
619,3451,890,
620,3452,891,
621,3453,892,
622,3454,893,
623,3455,894,
624,3456,895,
625,3457,896,
626,3458,897,
627,3459,898,
628,3460,899,
629,3461,900,
630,3462,901,
631,3463,902,
632,3464,903,
633,3465,904,
634,3466,905,
635,3467,906,
636,3468,907,
637,3469,908,
638,3470,909,
639,3471,910,
640,3472,911,
641,3473,912,
642,3474,913,
643,3475,914,
644,3476,915,
645,3477,916,
646,3478,917,
647,3479,918,
648,3480,919,
649,3481,920,
650,3482,921,
651,3483,922,
652,3484,923,
653,3485,924,
654,3486,925,
655,3487,926,
656,3488,927,
657,3489,928,
658,3490,929,
659,3491,930,
660,3492,931,
661,3493,932,
662,3494,933,
663,3495,934,
664,3496,935,
665,3497,936,
666,3498,937,
667,3499,938,
668,3500,939,
669,3501,940,
670,3502,941,
671,3503,942,
672,3504,943,
673,3505,944,
674,3506,945,
675,3507,946,
676,3508,947,
677,3509,948,
678,3510,949,
679,3511,950,
680,3512,951,
681,3513,952,
682,3514,953,
683,3515,954,
684,3516,955,
685,3517,956,
686,3518,957,
687,3519,958,
688,3520,959,
689,3521,960,
690,3522,961,
691,3523,962,
692,3524,963,
693,3525,964,
694,3526,965,
695,3527,966,
696,3528,967,
697,3529,968,
698,3530,969,
699,3531,970,
700,3532,971,
701,3533,972,
702,3534,973,
703,3535,974,
704,3536,975,
705,3537,976,
706,3538,977,
707,3539,978,
708,3540,979,
709,3541,980,
710,3542,981,
711,3543,982,
712,3544,983,
713,3545,984,
714,3546,985,
715,3547,986,
716,3548,987,
717,3549,988,
718,3550,989,
719,3551,990,
720,3552,991,
721,3553,992,
722,3554,993,
723,3555,994,
724,3556,995,
725,3557,996,
726,3558,997,
727,3559,998,
728,3560,999,
729,3561,1000,
730,3562,1001,
731,3563,1002,
732,3564,1003,
733,3565,1004,
734,3566,1005,
735,3567,1006,
736,3568,1007,
737,3569,1008,
738,3570,1009,
739,3571,1010,
740,3572,1011,
741,3573,1012,
742,3574,1013,
743,3575,1014,
744,3576,1015,
745,3577,1016,
746,3578,1017,
747,3579,1018,
748,3580,1019,
749,3581,1020,
750,3582,1021,
751,3583,1022,
752,3584,1023,
753,3585,1024,
754,3586,1025,
755,3587,1026,
756,3588,1027,
757,3589,1028,
758,3590,1029,
759,3591,1030,
760,3592,1031,
761,3593,1032,
762,3594,1033,
763,3595,1034,
764,3596,1035,
765,3597,1036,
766,3598,1037,
767,3599,1038,
768,3600,1039,
769,3601,1040,
770,3602,1041,
771,3603,1042,
772,3604,1043,
773,3605,1044,
774,3606,1045,
775,3607,1046,
776,3608,1047,
777,3609,1048,
778,3610,1049,
779,3611,1050,
780,3612,1051,
781,3613,1052,
782,3614,1053,
783,3615,1054,
784,3616,1055,
785,3617,1056,
786,3618,1057,
787,3619,1058,
788,3620,1059,
789,3621,1060,
790,3622,1061,
791,3623,1062,
792,3624,1063,
793,3625,1064,
794,3626,1065,
795,3627,1066,
796,3628,1067,
797,3629,1068,
798,3630,1069,
799,3631,1070,
800,3632,1071,
801,3633,1072,
802,3634,1073,
803,3635,1074,
804,3636,1075,
805,3637,1076,
806,3638,1077,
807,3639,1078,
808,3640,1079,
809,3641,1080,
810,3642,1081,
811,3643,1082,
812,3644,1083,
813,3645,1084,
814,3646,1085,
815,3647,1086,
816,3648,1087,
817,3649,1088,
818,3650,1089,
819,3651,1090,
820,3652,1091,
821,3653,1092,
822,3654,1093,
823,3655,1094,
824,3656,1095,
825,3657,1096,
826,3658,1097,
827,3659,1098,
828,3660,1099,
829,3661,1100,
830,3662,1101,
831,3663,1102,
832,3664,1103,
833,3665,1104,
834,3666,1105,
835,3667,1106,
836,3668,1107,
837,3669,1108,
838,3670,1109,
839,3671,1110,
840,3672,1111,
841,3673,1112,
842,3674,1113,
843,3675,1114,
844,3676,1115,
845,3677,1116,
846,3678,1117,
847,3679,1118,
848,3680,1119,
849,3681,1120,
850,3682,1121,
851,3683,1122,
852,3684,1123,
853,3685,1124,
854,3686,1125,
855,3687,1126,
856,3688,1127,
857,3689,1128,
858,3690,1129,
859,3691,1130,
860,3692,1131,
861,3693,1132,
862,3694,1133,
863,3695,1134,
864,3696,1135,
865,3697,1136,
866,3698,1137,
867,3699,1138,
868,3700,1139,
869,3701,1140,
870,3702,1141,
871,3703,1142,
872,3704,1143,SHOT
873,3705,1144,
874,3706,1145,
875,3707,1146,
876,3708,1147,
877,3709,1148,
878,3710,1149,
879,3711,1150,
880,3712,1151,
881,3713,1152,
882,3714,1153,
883,3715,1154,
884,3716,1155,
885,3717,1156,
886,3718,1157,
887,3719,1158,
888,3720,1159,
889,3721,1160,
890,3722,1161,
891,3723,1162,
892,3724,1163,
893,3725,1164,
894,3726,1165,
895,3727,1166,
896,3728,1167,
897,3729,1168,
898,3730,1169,
899,3731,1170,
900,3732,1171,
901,3733,1172,
902,3734,1173,
903,3735,1174,
904,3736,1175,
905,3737,1176,
906,3738,1177,
907,3739,1178,
908,3740,1179,
909,3741,1180,
910,3742,1181,
911,3743,1182,
912,3744,1183,
913,3745,1184,
914,3746,1185,
915,3747,1186,
916,3748,1187,
917,3749,1188,
918,3750,1189,
919,3751,1190,
920,3752,1191,
921,3753,1192,
922,3754,1193,
923,3755,1194,
924,3756,1195,
925,3757,1196,
926,3758,1197,
927,3759,1198,
928,3760,1199,
929,3761,1200,
930,3762,1201,
931,3763,1202,
932,3764,1203,
933,3765,1204,
934,3766,1205,
935,3767,1206,
936,3768,1207,
937,3769,1208,
938,3770,1209,
939,3771,1210,
940,3772,1211,
941,3773,1212,
942,3774,1213,
943,3775,1214,
944,3776,1215,
945,3777,1216,
946,3778,1217,
947,3779,1218,
948,3780,1219,
949,3781,1220,
950,3782,1221,
951,3783,1222,
952,3784,1223,
953,3785,1224,
954,3786,1225,
955,3787,1226,
956,3788,1227,
957,3789,1228,
958,3790,1229,
959,3791,1230,
960,3792,1231,
961,3793,1232,
962,3794,1233,
963,3795,1234,
964,3796,1235,
965,3797,1236,
966,3798,1237,
967,3799,1238,
968,3800,1239,
969,3801,1240,
970,3802,1241,
971,3803,1242,
972,3804,1243,
973,3805,1244,
974,3806,1245,
975,3807,1246,
976,3808,1247,
977,3809,1248,
978,3810,1249,
979,3811,1250,
980,3812,1251,
981,3813,1252,
982,3814,1253,
983,3815,1254,
984,3816,1255,
985,3817,1256,
986,3818,1257,
987,3819,1258,
988,3820,1259,
989,3821,1260,
990,3822,1261,
991,3823,1262,
992,3824,1263,
993,3825,1264,
994,3826,1265,
995,3827,1266,
996,3828,1267,
997,3829,1268,
998,3830,1269,
999,3831,1270,
1000,3832,1271,
1001,3833,1272,
1002,3834,1273,
1003,3835,1274,SOLDIER_DEAD

Motivo do encerramento: EXPECTED_END_REACHED
Frames aplicados: 1003
