rank,region,address_hex,data_type,kind,score,center,auto_aim_down,target_head,target_upper_body,target_lower_body,target_lost,head_upper_delta,upper_lower_delta,head_lower_delta,down_delta,lost_delta,ascending,descending,monotonic,progression_score,down_extension_score,screen_like_score,normalized_score,return_to_center_score
19,ARM_CORE,0x000D3908,U32_BE,BODY_PROGRESSION,39735584353.0,3158236270,1007266207,3155477629,1018441075,1008262215,3167455713,-2137036554,-10178860,-2147215414,-2150970063,9219443,false,true,true,39735584353.0,8587433382,0,0,12817046238
20,CAMERA_NEAR,0x0007995C,U32_BE,BODY_PROGRESSION,39629144725.0,1177612546,1167520485,1161551710,1172284758,3302268992,1180775364,10733048,2129984234,2140717282,-10092061,3162818,true,false,true,39629144725.0,4303539622,0,0,8557750706
21,ARM_CORE,0x000D5F80,U32_BE,BODY_PROGRESSION,39572703833.0,3103785757,3120567298,4229273604,100663296,3154120710,3154120710,-4128610308,3053457414,-1075152894,16781541,50334953,false,false,false,39572703833.0,33563082,0,0,16145324690
22,ARM_CORE,0x000D61C4,U32_BE,BODY_PROGRESSION,39553810788.0,1020352,1509949695,1019136,1020480,2148023856,83911384,1344,2147003376,2147004720,1508929343,82891032,true,false,true,39553810788.0,7146083630,0,0,10942749310
23,CAMERA_NEAR,0x00079940,U32_BE,BODY_PROGRESSION,39429598141.0,1054998329,1053305532,1053472476,1054628319,3184969640,1051714118,1155843,2130341321,2131497164,-1692797,-3284211,true,false,true,39429598141.0,4263530982,0,0,8503100562
24,CAMERA_NEAR,0x00079980,U32_BE,BODY_PROGRESSION,39398230072.0,1184764276,1174978598,1170153480,1179769048,3298570032,1187926448,9615568,2118800984,2128416552,-9785678,3162172,true,false,true,39398230072.0,4280001236,0,0,8507940188
25,ARM_CORE,0x000D3F54,U32_BE,BODY_PROGRESSION,39157343753.5,0,1076378158,181699752,2445242831,2578036959,2786639230,2263543079,132794128,2396337207,1076378158,2786639230,true,false,true,39157343753.5,1735551774,0,0,-10555008696
26,ARM_NEAR_X,0x000D3F54,U32_BE,BODY_PROGRESSION,39051132273.5,0,1076378158,181699752,2445242831,2572762767,2783047406,2263543079,127519936,2391063015,1076378158,2783047406,true,false,true,39051132273.5,1732187038,0,0,-10547370872
27,ARM_CORE,0x000D390C,U32_BE,BODY_PROGRESSION,38971080914.0,1012706221,1028390016,1015127674,3113938227,3122003456,1027865341,2098810553,8065229,2106875782,15683795,15159120,true,false,true,38971080914.0,4219643820,0,0,8337597758
28,ARM_CORE,0x000D3F68,U32_BE,BODY_PROGRESSION,37962310857.0,0,1076378158,421437748,2659888524,2758690778,2786639230,2238450776,98802254,2337253030,1076378158,2786639230,true,false,true,37962310857.0,2096859412,0,0,-10791345404
29,ARM_NEAR_X,0x000D3F68,U32_BE,BODY_PROGRESSION,37876325781.5,0,1076378158,421437748,2659888524,2754357349,2783047406,2238450776,94468825,2332919601,1076378158,2783047406,true,false,true,37876325781.5,2095376202,0,0,-10779944528
30,ARM_CORE,0x000D6020,U32_BE,BODY_PROGRESSION,37559452727.0,4211081216,3120567298,4229273604,100663296,3154120710,3154120710,-4128610308,3053457414,-1075152894,-1090513918,-1056960506,false,false,false,37559452727.0,2315241484,0,0,10239785020
31,ARM_CORE,0x000D5FC8,U32_BE,BODY_PROGRESSION,37228645093.5,4211081216,3120567298,4211081216,100663296,3103785757,3103785757,-4110417920,3003122461,-1107295459,-1090513918,-1107295459,false,false,false,37228645093.5,2181027836,0,0,9764335844
32,ARM_CORE,0x000D5D74,U32_BE,BODY_PROGRESSION,36507222007.5,4294967295,3289456760,4294967295,4294967295,0,4294967295,0,-4294967295,-4294967295,-1005510535,0,false,false,false,36507222007.5,10600955660,0,0,19190890250
33,ARM_CORE,0x000D5C2C,U32_BE,BODY_PROGRESSION,36506107904.0,4294836224,4294836224,4294836224,4294836224,0,4294836224,0,-4294836224,-4294836224,0,0,false,false,false,36506107904.0,8589672448,0,0,17179344896
34,ARM_CORE,0x000D5C14,U32_BE,BODY_PROGRESSION,36497994127.0,4294901758,4294901758,4294901758,4294901758,1020096,4294901758,0,-4293881662,-4293881662,0,0,false,false,false,36497994127.0,8587763324,0,0,17175526648
35,ARM_CORE,0x000D5C1C,U32_BE,BODY_PROGRESSION,36497447968.0,4294836224,4294836224,4294836224,4294836224,1018816,4294836224,0,-4293817408,-4293817408,0,0,false,false,false,36497447968.0,8587634816,0,0,17175269632
36,ARM_CORE,0x000D5C24,U32_BE,BODY_PROGRESSION,36489032271.0,4294901758,4294901758,4294901758,4294901758,2074432,4294901758,0,-4292827326,-4292827326,0,0,false,false,false,36489032271.0,8585654652,0,0,17171309304
37,ARM_CORE,0x000D3CEC,U32_BE,BODY_PROGRESSION,35903002309.0,1021105421,3172274982,3171877608,998394983,998370944,3174577717,-2173482625,-24039,-2173506664,2151169561,2153472296,false,true,true,35903002309.0,8645541728,0,0,-4231412590
38,ARM_NEAR_X,0x000D3CEC,U32_BE,BODY_PROGRESSION,35903002309.0,1021105421,3172274982,3171877608,998394983,998370944,3174577717,-2173482625,-24039,-2173506664,2151169561,2153472296,false,true,true,35903002309.0,8645541728,0,0,-4231412590
39,ARM_CORE,0x000D61F0,U32_BE,BODY_PROGRESSION,35768162810.0,4229273604,3154121734,4229273604,4229273604,16973888,4211081216,0,-4212299716,-4212299716,-1075151870,-18192388,false,false,false,35768162810.0,10538518396,0,0,18853963500
40,ARM_NEAR_X,0x000D3CD8,U32_BE,BODY_PROGRESSION,35726715608.0,1024480459,1022964179,3166511498,3141165223,1007188640,3172879254,-25346275,-2133976583,-2159322858,-1516280,2148398795,false,true,true,35726715608.0,-4259181392,0,0,-8546866368
41,ARM_CORE,0x000D3CD8,U32_BE,BODY_PROGRESSION,35726715608.0,1024480459,1022964179,3166511498,3141165223,1007188640,3172879254,-25346275,-2133976583,-2159322858,-1516280,2148398795,false,true,true,35726715608.0,-4259181392,0,0,-8546866368
42,CAMERA_NEAR,0x00079948,U32_BE,BODY_PROGRESSION,35712439647.5,3144415524,3192980779,3197370977,3189058246,1041896092,1050022815,-8312731,-2147162154,-2155474885,48565255,-2094392709,false,true,true,35712439647.5,307644976,0,0,-8036111622
43,ARM_CORE,0x000D3A7C,U32_BE,BODY_PROGRESSION,35617315392.5,3163297565,1019750186,3164023042,1023269061,1010073333,1028126111,-2140753981,-13195728,-2153949709,-2143547379,-2135171454,false,true,true,35617315392.5,4323200314,0,0,-4178478038
44,ARM_CORE,0x000D3A3C,U32_BE,BODY_PROGRESSION,35609136598.5,3163234795,1020900750,3164166027,1023314991,1010586796,1028102165,-2140851036,-12728195,-2153579231,-2142334045,-2135132630,false,true,true,35609136598.5,4319698828,0,0,-4182076026
45,ARM_CORE,0x000D3A18,U32_BE,BODY_PROGRESSION,35575893681.5,3167998312,3196538933,1017359335,3163100817,3171992052,1012254918,2145741482,8891235,2154632717,28540621,-2155743394,true,false,true,35575893681.5,-4148230542,0,0,-8570335042
46,ARM_CORE,0x000D3918,U32_BE,BODY_PROGRESSION,35548241998.0,1023853594,3174724215,1020639795,3156482695,3171865351,3171643722,2135842900,15382656,2151225556,2150870621,2147790128,true,false,true,35548241998.0,4313619956,0,0,-4275677558
47,ARM_CORE,0x000D3E24,U32_BE,BODY_PROGRESSION,35513561524.0,1023730308,1026556004,1025028969,3171591392,3175514455,3164825636,2146562423,3923063,2150485486,2825696,2141095328,true,false,true,35513561524.0,27029030,0,0,-8521169288
48,ARM_NEAR_X,0x000D3E24,U32_BE,BODY_PROGRESSION,35512008626.0,1023633420,1026556004,1025028969,3171591392,3175514455,3165505197,2146562423,3923063,2150485486,2922584,2141871777,true,false,true,35512008626.0,25863684,0,0,-8527187104
49,ARM_CORE,0x000D3DE4,U32_BE,BODY_PROGRESSION,35507717849.0,1023633420,1026412508,1025127322,3171609586,3175402052,3165505197,2146482264,3792466,2150274730,2779088,2141871777,true,false,true,35507717849.0,25351886,0,0,-8528317120
50,ARM_NEAR_X,0x000D3DE4,U32_BE,BODY_PROGRESSION,35506184371.0,1023534636,1026412508,1025127322,3171609586,3175402052,3166173152,2146482264,3792466,2150274730,2877872,2142638516,true,false,true,35506184371.0,24213544,0,0,-8534253464
51,ARM_CORE,0x000D38C0,U32_BE,BODY_PROGRESSION,35450149609.5,3197243753,1046047464,1059024504,3184603024,3203599381,1056505660,2125578520,18996357,2144574877,-2151196289,-2140738093,true,false,true,35450149609.5,8638412804,0,0,-4245212658
52,ARM_CORE,0x000D5CE8,U32_BE,BODY_PROGRESSION,35447475098.0,58982416,58982416,58982416,58982416,4229273604,58982416,0,4170291188,4170291188,0,0,false,false,false,35447475098.0,8340582376,0,0,16681164752
53,ARM_CORE,0x000D3DA4,U32_BE,BODY_PROGRESSION,35447125849.0,1020802987,1020468120,1026000190,3168247338,3173071732,3164889167,2142247148,4824394,2147071542,-334867,2144086180,true,false,true,35447125849.0,18374332,0,0,-8563733538
54,ARM_NEAR_X,0x000D3DA4,U32_BE,BODY_PROGRESSION,35445547789.0,1020598284,1020468120,1026000190,3168247338,3173071732,3165473494,2142247148,4824394,2147071542,-130164,2144875210,true,false,true,35445547789.0,15977460,0,0,-8570455184
55,ARM_CORE,0x000D3DB0,U32_BE,BODY_PROGRESSION,35438866969.0,1020918867,3171082565,1026397468,3168342783,3172995896,3164501261,2141945315,4653113,2146598428,2150163698,2143582394,true,false,true,35438866969.0,4317316666,0,0,-4261938044
56,ARM_NEAR_X,0x000D3DB0,U32_BE,BODY_PROGRESSION,35437266187.0,1020704658,3171082565,1026397468,3168342783,3172995896,3165087443,2141945315,4653113,2146598428,2150377907,2144382785,true,false,true,35437266187.0,4316572720,0,0,-4267912754
57,ARM_CORE,0x000D389C,U32_BE,BODY_PROGRESSION,35427856764.0,3161044344,1009643299,1023350570,3148306755,3166859284,1019687578,2124956185,18552529,2143508714,-2151401045,-2141356766,true,false,true,35427856764.0,8637322618,0,0,-4254017182
58,ARM_CORE,0x000D5CE0,U32_BE,BODY_PROGRESSION,35290611576.0,59244560,59244560,59244560,59244560,4211081216,59244560,0,4151836656,4151836656,0,0,false,false,false,35290611576.0,8303673312,0,0,16607346624
59,ARM_CORE,0x000D5D20,U32_BE,BODY_PROGRESSION,35222093280.0,16973888,16973888,16973888,16973888,4160749568,16973888,0,4143775680,4143775680,0,0,false,false,false,35222093280.0,8287551360,0,0,16575102720
60,ARM_NEAR_X,0x000D3CD4,U32_BE,BODY_PROGRESSION,35113963750.0,1021514483,3156161520,3146986921,1025672637,1018507681,3163713762,-2121314284,-7164956,-2128479240,2134647037,2142199279,false,true,true,35113963750.0,8529497268,0,0,-4354383198
61,ARM_CORE,0x000D3CD4,U32_BE,BODY_PROGRESSION,35113963750.0,1021514483,3156161520,3146986921,1025672637,1018507681,3163713762,-2121314284,-7164956,-2128479240,2134647037,2142199279,false,true,true,35113963750.0,8529497268,0,0,-4354383198
62,ARM_CORE,0x000D5CD8,U32_BE,BODY_PROGRESSION,34863906680.0,59113488,59113488,59113488,59113488,4160749568,59113488,0,4101636080,4101636080,0,0,false,false,false,34863906680.0,8203272160,0,0,16406544320
63,ARM_CORE,0x000D5B58,U32_BE,BODY_PROGRESSION,34509061600.0,4076863488,4076863488,4076863488,4076863488,16973888,4076863488,0,-4059889600,-4059889600,0,0,false,false,false,34509061600.0,8119779200,0,0,16239558400
64,ARM_CORE,0x000D5B3C,U32_BE,BODY_PROGRESSION,34084931456.0,4281597951,4281597951,4281597951,4281597951,271606015,4281597951,0,-4009991936,-4009991936,0,0,false,false,false,34084931456.0,8019983872,0,0,16039967744
65,ARM_CORE,0x000D5F48,U32_BE,BODY_PROGRESSION,33168544247.0,3154119686,4211081216,100663296,3875536896,3154121734,3154121734,3774873600,-721415162,3053458438,1056961530,2048,false,false,false,33168544247.0,6341760988,0,0,17213401076
66,ARM_CORE,0x000D6190,U32_BE,BODY_PROGRESSION,33141728740.0,4160749568,100663296,4160749568,4160749568,16973888,3120567298,0,-4143775680,-4143775680,-4060086272,-1040182270,false,false,false,33141728740.0,14327359364,0,0,16373817104
67,ARM_CORE,0x000D5CCC,U32_BE,BODY_PROGRESSION,32707583638.0,1435304276,2611478868,1729364310,1311506773,0,1165689172,-417857537,-1311506773,-1729364310,1176174592,-269615104,false,true,true,32707583638.0,9388425896,0,0,7112885592
68,ARM_CORE,0x000D5CBC,U32_BE,BODY_PROGRESSION,32688711862.0,1435304276,2611478868,1729364310,1311506773,1020096,1165689172,-417857537,-1310486677,-1728344214,1176174592,-269615104,false,true,true,32688711862.0,9386385704,0,0,7108805208
69,ARM_CORE,0x000D5B10,U32_BE,BODY_PROGRESSION,32439598968.0,3875536896,3875536896,3875536896,3875536896,59113488,3875536896,0,-3816423408,-3816423408,0,0,false,false,false,32439598968.0,7632846816,0,0,15265693632
70,ARM_CORE,0x000D61D0,U32_BE,BODY_PROGRESSION,30643595276.0,3875536896,3103785757,3875536896,3875536896,100663296,3154121734,0,-3774873600,-3774873600,-771751139,-721415162,false,false,false,30643595276.0,7650419154,0,0,10871675382
71,ARM_CORE,0x000D5F74,U32_BE,BODY_PROGRESSION,30277584014.5,1509949695,2112544,7,3289456760,1610537976,1610537976,3289456753,-1678918784,1610537969,-1507837151,100588281,false,false,false,30277584014.5,9047022906,0,0,15368795066
72,ARM_CORE,0x000D5C8C,U32_BE,BODY_PROGRESSION,29127245801.5,3972333570,29622272,1833238527,3924754430,0,287113216,2091515903,-3924754430,-1833238527,-3942711298,-3685220354,false,false,false,29127245801.5,8459649028,0,0,-5897322516
73,ARM_CORE,0x000D5BFC,U32_BE,BODY_PROGRESSION,27960382460.0,0,0,0,0,3289456760,0,0,3289456760,3289456760,0,0,false,false,false,27960382460.0,6578913520,0,0,13157827040
74,ARM_CORE,0x000D5D3C,U32_BE,BODY_PROGRESSION,27960278012.0,12288,1021760,12288,12288,3289456760,12288,0,3289444472,3289444472,1009472,0,false,false,false,27960278012.0,6580907888,0,0,13159796832
75,ARM_CORE,0x000D3978,U32_BE,BODY_PROGRESSION,27917287413.0,4294967295,4294967295,1,4294967295,4294967295,2,4294967294,0,4294967294,0,-4294967293,false,false,false,27917287413.0,-8589934586,0,0,-17179869168
76,ARM_NEAR_X,0x000D3D20,U32_BE,BODY_PROGRESSION,27917287398.0,4294967294,4294967294,2,4294967294,4294967294,2,4294967292,0,4294967292,0,-4294967292,false,false,false,27917287398.0,-8589934584,0,0,-17179869168
77,ARM_CORE,0x000D3D20,U32_BE,BODY_PROGRESSION,27917287398.0,4294967294,4294967294,2,4294967294,4294967294,2,4294967292,0,4294967292,0,-4294967292,false,false,false,27917287398.0,-8589934584,0,0,-17179869168
78,ARM_CORE,0x000D5F8C,U32_BE,BODY_PROGRESSION,27901479844.0,2083240,7,3289456760,2112544,83913264,83906776,-3287344216,81800720,-3205543496,-2083233,81823536,false,false,false,27901479844.0,12512374,0,0,12498955042
79,ARM_CORE,0x000D5FBC,U32_BE,BODY_PROGRESSION,27602927923.5,1048576,2112544,1048576,3289456760,1509949695,1509949695,3288408184,-1779507065,1508901119,1063968,1508901119,false,false,false,27602927923.5,2127936,0,0,1084551720
80,ARM_CORE,0x000D5C3C,U32_BE,BODY_PROGRESSION,27583217664.0,3260743680,3244621824,3115646976,3229351936,0,3242328064,113704960,-3229351936,-3115646976,-16121856,-18415616,false,false,false,27583217664.0,6516899840,0,0,12802326528
81,ARM_CORE,0x000D6014,U32_BE,BODY_PROGRESSION,27259781776.5,1048576,2074432,7,3289456760,1610537976,1610537976,3289456753,-1678918784,1610537969,1025856,1609489400,false,false,false,27259781776.5,2051712,0,0,283963524
82,ARM_CORE,0x000D5EDC,U32_BE,BODY_PROGRESSION,27254084417.5,1610537976,2074432,1509949695,3289456760,2084832,3289456760,1779507065,-3287371928,-1507864863,-1608463544,1678918784,false,false,false,27254084417.5,3076037408,0,0,2935064528
83,ARM_CORE,0x000D5C64,U32_BE,BODY_PROGRESSION,27204429099.0,4294967293,4294901757,4294901758,4294967293,83908088,131070,65535,-4211059205,-4210993670,-65536,-4294836223,false,false,false,27204429099.0,-167422964,0,0,-17514321892
84,ARM_CORE,0x000D5F3C,U32_BE,BODY_PROGRESSION,27083510248.0,2087328,1048576,3289456760,83909832,83912648,83908760,-3205546928,2816,-3205544112,-1038752,81821432,false,false,false,27083510248.0,6240288,0,0,12169693760
85,ARM_CORE,0x000D5FE8,U32_BE,BODY_PROGRESSION,27061631467.0,100663296,3103785757,100663296,3875536896,3154121734,3154121734,3774873600,-721415162,3053458438,3003122461,3053458438,false,false,false,27061631467.0,6006244922,0,0,-3321928182
86,ARM_CORE,0x000D5ECC,U32_BE,BODY_PROGRESSION,27057420853.0,0,83913912,1048576,1509949695,1610537976,1509949695,1508901119,100588281,1609489400,83913912,1509949695,true,false,true,27057420853.0,369004386,0,0,-5473812136
87,ARM_CORE,0x000D6024,U32_BE,BODY_PROGRESSION,26986027754.0,1509949695,1048576,1610537976,83914872,2090288,2084832,-1526623104,-81824584,-1608447688,-1508901119,-1507864863,false,true,true,26986027754.0,3021958174,0,0,-2611325914
88,ARM_CORE,0x000D5F7C,U32_BE,BODY_PROGRESSION,26846341674.5,1610537976,0,1509949695,2112776,3289456760,3289456760,-1507836919,3287343984,1779507065,-1610537976,1678918784,false,false,false,26846341674.5,9663227856,0,0,2939101616
89,ARM_CORE,0x000D5FC4,U32_BE,BODY_PROGRESSION,26580220457.5,0,0,7,2114168,1610537976,1610537976,2114161,1608423808,1610537969,0,1610537976,true,false,true,26580220457.5,0,0,0,-6442151932
90,ARM_CORE,0x000D5B28,U32_BE,BODY_PROGRESSION,26167148416.5,3137339393,3137339393,3137339393,3137339393,58851344,3137339393,0,-3078488049,-3078488049,0,0,false,false,false,26167148416.5,6156976098,0,0,12313952196
91,ARM_CORE,0x000D5B18,U32_BE,BODY_PROGRESSION,26021243273.0,3120567298,3120567298,3120567298,3120567298,59244560,3120567298,0,-3061322738,-3061322738,0,0,false,false,false,26021243273.0,6122645476,0,0,12245290952
92,ARM_CORE,0x000D5CF8,U32_BE,BODY_PROGRESSION,25954483763.0,3154131974,3154131974,3154131974,3154131974,100663296,3154131974,0,-3053468678,-3053468678,0,0,false,false,false,25954483763.0,6106937356,0,0,12213874712
93,ARM_CORE,0x000D5D48,U32_BE,BODY_PROGRESSION,25954396723.0,3154121734,3875536896,3154121734,3154121734,100663296,3154121734,0,-3053458438,-3053458438,721415162,0,false,false,false,25954396723.0,10435407848,0,0,13656664076
94,ARM_CORE,0x000D6038,U32_BE,BODY_PROGRESSION,25954394675.0,3154120710,4229273604,100663296,3154121734,3154121734,3154121734,3053458438,0,3053458438,1075152894,1024,false,false,false,25954394675.0,6450913268,0,0,14364131348
95,ARM_CORE,0x000D5EF8,U32_BE,BODY_PROGRESSION,25954392627.0,3154119686,4211081216,100663296,3154121734,3154121734,3154121734,3053458438,0,3053458438,1056961530,2048,false,false,false,25954392627.0,6341760988,0,0,14327740428
96,ARM_CORE,0x000D6178,U32_BE,BODY_PROGRESSION,25954392627.0,3154121734,4229273604,3154121734,3154121734,100663296,3154119686,0,-3053458438,-3053458438,1075151870,-2048,false,false,false,25954392627.0,12557824000,0,0,14364121108
97,ARM_CORE,0x000D5CF0,U32_BE,BODY_PROGRESSION,25881942510.5,58851344,58851344,58851344,58851344,3103785757,58851344,0,3044934413,3044934413,0,0,false,false,false,25881942510.5,6089868826,0,0,12179737652
98,ARM_CORE,0x000D5B20,U32_BE,BODY_PROGRESSION,25880828398.5,3103785757,3103785757,3103785757,3103785757,58982416,3103785757,0,-3044803341,-3044803341,0,0,false,false,false,25880828398.5,6089606682,0,0,12179213364
99,ARM_CORE,0x000D5E40,U32_BE,BODY_PROGRESSION,25853718113.0,3103785757,3120567298,3154120710,3154120710,100663296,3154120710,0,-3053457414,-3053457414,16781541,50334953,false,false,false,25853718113.0,6006264262,0,0,11844713114
100,ARM_CORE,0x000D5E90,U32_BE,BODY_PROGRESSION,25853718113.0,3103785757,3875536896,3154120710,3154120710,100663296,3154120710,0,-3053457414,-3053457414,771751139,50334953,false,false,false,25853718113.0,10536081850,0,0,13354652310
101,ARM_CORE,0x000D60C0,U32_BE,BODY_PROGRESSION,25853718113.0,3103785757,3120567298,3154120710,3154120710,100663296,3154120710,0,-3053457414,-3053457414,16781541,50334953,false,false,false,25853718113.0,6006264262,0,0,11844713114
102,ARM_CORE,0x000D5FCC,U32_BE,BODY_PROGRESSION,25827400392.5,1509949695,1048576,1509949695,83889248,3289456760,3289456760,-1426060447,3205567512,1779507065,-1508901119,1779507065,false,false,false,25827400392.5,9053406714,0,0,1604015766
103,ARM_CORE,0x000D602C,U32_BE,BODY_PROGRESSION,25022794208.0,1610537976,7,3289456760,1020480,83913912,83910816,-3288436280,82893432,-3205542848,-1610537969,-1526627160,false,false,false,25022794208.0,3556725366,0,0,4161803778
104,ARM_CORE,0x000D61D8,U32_BE,BODY_PROGRESSION,24870604789.0,3120567298,3154120710,3120567298,3120567298,16973888,3875536896,0,-3103593410,-3103593410,33553412,754969598,false,false,false,24870604789.0,4898568096,0,0,6441723680
105,ARM_CORE,0x000D5C60,U32_BE,BODY_PROGRESSION,24813502464.0,3019898880,3019898880,3019898880,3019898880,100663296,3019898880,0,-2919235584,-2919235584,0,0,false,false,false,24813502464.0,5838471168,0,0,11676942336
106,ARM_CORE,0x000D5CB0,U32_BE,BODY_PROGRESSION,24813502464.0,3019898880,3019898880,3019898880,3019898880,100663296,3019898880,0,-2919235584,-2919235584,0,0,false,false,false,24813502464.0,5838471168,0,0,11676942336
107,ARM_CORE,0x000D5D80,U32_BE,AUTO_AIM_DOWN,24776126488,4230389764,100663296,4230389764,4230389764,4229273604,4230389764,0,-1116160,-1116160,-4129726468,0,false,false,false,9487360.0,24776126488,0,0,8263917576
108,ARM_CORE,0x000D6074,U32_BE,BODY_PROGRESSION,24725850908.0,1610537976,1048576,3289456760,2076704,2083776,2092888,-3287380056,7072,-3287372984,-1609489400,-1608445088,false,false,false,24725850908.0,3223137824,0,0,3500938320
109,ARM_CORE,0x000D615C,U32_BE,BODY_PROGRESSION,24602544892.0,3289456760,0,3289456760,3289456760,0,1610537976,0,-3289456760,-3289456760,-3289456760,-1678918784,false,false,false,24602544892.0,9799989472,0,0,6305390288
110,ARM_CORE,0x000D61FC,U32_BE,BODY_PROGRESSION,24601987836.0,3289456760,0,3289456760,3289456760,65536,1610537976,0,-3289391224,-3289391224,-3289456760,-1678918784,false,false,false,24601987836.0,9800120544,0,0,6305128144
111,ARM_CORE,0x000D5E3C,U32_BE,BODY_PROGRESSION,24584802604.0,1610537976,0,3289456760,3289456760,2087328,3289456760,0,-3287369432,-3287369432,-1610537976,1678918784,false,false,false,24584802604.0,3088488992,0,0,2939203408
112,ARM_CORE,0x000D5E8C,U32_BE,BODY_PROGRESSION,24584755344.0,1610537976,2074432,3289456760,3289456760,2092888,3289456760,0,-3287363872,-3287363872,-1608463544,1678918784,false,false,false,24584755344.0,3076053520,0,0,2935032304
