rank,region,address_hex,data_type,kind,score,center,auto_aim_down,target_head,target_upper_body,target_lower_body,target_lost,head_upper_delta,upper_lower_delta,head_lower_delta,down_delta,lost_delta,ascending,descending,monotonic,progression_score,down_extension_score,screen_like_score,normalized_score,return_to_center_score
1,ARM_CORE,0x000D5EE0,U32_BE,BODY_PROGRESSION,79504080974.0,3103785757,3875536896,4229273604,3154120710,100663296,3154120710,-1075152894,-3053457414,-4128610308,771751139,50334953,false,true,true,79504080974.0,10536081850,0,0,17655263886
2,ARM_CORE,0x000D5CAC,U32_BE,BODY_PROGRESSION,79243160956.0,4284481536,4284350464,4285399040,4284743680,2077120,4284612608,-655360,-4282666560,-4283321920,-131072,131072,false,true,true,79243160956.0,8564808832,0,0,17132501248
3,ARM_CORE,0x000D5ED4,U32_BE,BODY_PROGRESSION,65485388775.5,1509949695,1021760,7,1610537976,3289456760,1610537976,1610537969,1678918784,3289456753,-1508927935,100588281,true,false,true,65485388775.5,12411405178,0,0,15370976634
4,ARM_CORE,0x000D5B94,U32_BE,BODY_PROGRESSION,63921203310.5,3464495537,3456106924,3456106969,3456106939,0,3456106934,-30,-3456106939,-3456106969,-8388613,-8388603,false,true,true,63921203310.5,6928991094,0,0,13774096278
5,ARM_CORE,0x000D5EEC,U32_BE,BODY_PROGRESSION,60921139456.0,2081456,1048576,3289456760,83913912,1018816,83906104,-3205542848,-82895096,-3288437944,-1032880,81824648,false,true,true,60921139456.0,-159458256,0,0,12501220352
6,ARM_CORE,0x000D5C54,U32_BE,BODY_PROGRESSION,60291208777.5,33491818,20775950,27723719,27985606,3289456760,59311639,261887,3261471154,3261733041,-12715868,25819821,true,false,true,60291208777.5,6536585450,0,0,12865805332
7,ARM_CORE,0x000D616C,U32_BE,BODY_PROGRESSION,59138979036.0,83915200,7,83909608,83913264,3289456760,2087328,3656,3205543496,3205547152,-83915193,-81827872,true,false,true,59138979036.0,6750918534,0,0,12335396018
8,ARM_CORE,0x000D5F98,U32_BE,BODY_PROGRESSION,56589641815.0,3154119686,4229273604,100663296,3120567298,3154121734,3154121734,3019904002,33554436,3053458438,1075153918,2048,true,false,true,56589641815.0,6450915316,0,0,14364125204
9,ARM_CORE,0x000D6080,U32_BE,BODY_PROGRESSION,56488986699.0,3154120710,4211081216,100663296,3154119686,3154121734,3154119686,3053456390,2048,3053458438,1056960506,-1024,true,false,true,56488986699.0,6341758940,0,0,14327746572
10,ARM_CORE,0x000D5C74,U32_BE,BODY_PROGRESSION,54218726176.0,167426736,507278576,3022787608,1349797032,2074432,3021245176,-1672990576,-1347722600,-3020713176,339851840,2853818440,false,true,true,54218726176.0,-3337821232,0,0,-10067991136
11,ARM_CORE,0x000D5C84,U32_BE,BODY_PROGRESSION,53637252113.5,4063711488,3528769090,2884056931,1051904988,1048576,2638224893,-1832151943,-1050856412,-2883008355,-534942398,-1425486595,false,true,true,53637252113.5,6344237430,0,0,1198025456
12,ARM_CORE,0x000D5C94,U32_BE,BODY_PROGRESSION,51513324039.0,4294377447,4294377460,4294442989,4294377453,1509949695,4294377451,-65536,-2784427758,-2784493294,13,4,false,true,true,51513324039.0,5568855574,0,0,11137973170
13,ARM_CORE,0x000D5C9C,U32_BE,BODY_PROGRESSION,49486635120.0,4284481536,4284350464,4285399040,4284743680,1610537976,4284612608,-655360,-2674205704,-2674861064,-131072,131072,false,true,true,49486635120.0,5347887120,0,0,10698657824
14,ARM_CORE,0x000D3CF8,U32_BE,BODY_PROGRESSION,40143599764.5,1008753472,1023730015,3175056731,3149983770,1007097920,1028182783,-25072961,-2142885850,-2167958811,14976543,19429311,false,true,true,40143599764.5,54311740,0,0,8546353842
15,ARM_NEAR_X,0x000D3CF8,U32_BE,BODY_PROGRESSION,40143599764.5,1008753472,1023730015,3175056731,3149983770,1007097920,1028182783,-25072961,-2142885850,-2167958811,14976543,19429311,false,true,true,40143599764.5,54311740,0,0,8546353842
16,CAMERA_NEAR,0x00079970,U32_BE,BODY_PROGRESSION,40139628873.5,1059404710,1046179442,1031859136,1052016052,3198916407,1065106154,20156916,2146900355,2167057271,-13225268,5701444,true,false,true,40139628873.5,4346972114,0,0,8649068068
17,ARM_CORE,0x000D38EC,U32_BE,BODY_PROGRESSION,39766071357.5,1066566152,3213729598,1059731752,3206880439,3212765023,1025216448,2147148687,5884584,2153033271,2147163446,-41349704,true,false,true,39766071357.5,8507883526,0,0,12575662344
18,ARM_CORE,0x000D3938,U32_BE,BODY_PROGRESSION,39736274737.0,1028028938,3172227600,3165004677,3161287383,1016496359,1016887674,-3717294,-2144791024,-2148508318,2144198662,-11141264,false,true,true,39736274737.0,12865974602,0,0,12793300484
