rank,region,address_hex,data_type,kind,score,center,auto_aim_down,target_head,target_upper_body,target_lower_body,target_lost,head_upper_delta,upper_lower_delta,head_lower_delta,down_delta,lost_delta,ascending,descending,monotonic,progression_score,down_extension_score,screen_like_score,normalized_score,return_to_center_score
6690,ARM_CORE,0x000D44E9,U8,AUTO_AIM_DOWN,40,0,20,20,20,20,20,0,0,0,20,20,false,false,false,-40.0,40,0,0,-120
6691,ARM_CORE,0x000D5DD2,U8,AUTO_AIM_DOWN,40,20,0,0,0,0,0,0,0,0,-20,-20,false,false,false,-40.0,40,0,0,-120
6692,ARM_CORE,0x000D5E22,U8,AUTO_AIM_DOWN,40,20,0,0,0,0,0,0,0,0,-20,-20,false,false,false,-40.0,40,0,0,-120
6693,ARM_CORE,0x000D5E72,U8,AUTO_AIM_DOWN,40,20,0,0,0,0,0,0,0,0,-20,-20,false,false,false,-40.0,40,0,0,-120
6694,ARM_CORE,0x000D394C,F32_BE,NORMALIZED_VERTICAL,39.43954333663,0.019454533234239,0.021501947194338,0.0064020990394056,0.025159765034914,-0.00056439638137817,-0.040386404842138,0.018757665995508,-0.025724161416292,-0.0069664954207838,0.0020474139600992,-0.059840938076377,false,false,false,0.12710999487899,-0.067359533160925,0.19719771668315,39.43954333663,-0.37173603102565
6695,ARM_CORE,0x000D5E03,U8,BODY_PROGRESSION,39.0,0,0,6,0,0,6,-6,0,-6,0,6,false,false,false,39.0,-12,0,0,-24
6696,ARM_CORE,0x000D5E53,U8,BODY_PROGRESSION,39.0,0,0,6,0,0,6,-6,0,-6,0,6,false,false,false,39.0,-12,0,0,-24
6697,ARM_CORE,0x000D5F4B,U8,BODY_PROGRESSION,39.0,6,6,6,0,0,0,-6,0,-6,0,-6,false,false,false,39.0,0,0,0,-24
6698,ARM_CORE,0x000D60D3,U8,BODY_PROGRESSION,39.0,0,0,6,0,0,6,-6,0,-6,0,6,false,false,false,39.0,-12,0,0,-24
6699,ARM_CORE,0x000D6123,U8,BODY_PROGRESSION,39.0,6,0,6,0,0,0,-6,0,-6,-6,-6,false,false,false,39.0,12,0,0,-12
6700,ARM_CORE,0x000D44C4,U8,AUTO_AIM_DOWN,38,0,19,19,19,19,19,0,0,0,19,19,false,false,false,-38.0,38,0,0,-114
6701,ARM_CORE,0x000D44D4,U8,AUTO_AIM_DOWN,38,0,19,19,19,19,19,0,0,0,19,19,false,false,false,-38.0,38,0,0,-114
6702,ARM_CORE,0x000D44E5,U8,AUTO_AIM_DOWN,38,0,19,19,19,19,19,0,0,0,19,19,false,false,false,-38.0,38,0,0,-114
6703,ARM_CORE,0x000D44F5,U8,AUTO_AIM_DOWN,38,0,19,19,19,19,19,0,0,0,19,19,false,false,false,-38.0,38,0,0,-114
6704,ARM_CORE,0x000D458D,U8,AUTO_AIM_DOWN,38,0,19,19,19,19,19,0,0,0,19,19,false,false,false,-38.0,38,0,0,-114
6705,ARM_CORE,0x000D46C9,U8,AUTO_AIM_DOWN,38,0,19,19,19,19,19,0,0,0,19,19,false,false,false,-38.0,38,0,0,-114
6706,ARM_CORE,0x000D46E6,U8,AUTO_AIM_DOWN,38,0,19,19,19,19,19,0,0,0,19,19,false,false,false,-38.0,38,0,0,-114
6707,ARM_CORE,0x000D46F6,U8,AUTO_AIM_DOWN,38,0,19,19,19,19,19,0,0,0,19,19,false,false,false,-38.0,38,0,0,-114
6708,ARM_CORE,0x000D47C5,U8,AUTO_AIM_DOWN,38,0,19,19,19,19,19,0,0,0,19,19,false,false,false,-38.0,38,0,0,-114
6709,ARM_CORE,0x000D47D5,U8,AUTO_AIM_DOWN,38,0,19,19,19,19,19,0,0,0,19,19,false,false,false,-38.0,38,0,0,-114
6710,ARM_CORE,0x000D395C,F32_BE,NORMALIZED_VERTICAL,37.231662636623,-0.001873618341051,-0.01657897233963,0.015193081460893,0.0044786869548261,0.011561835184693,-0.0024915367830545,-0.010714394506067,0.0070831482298672,-0.0036312462761998,-0.014705353998579,-0.00061791844200343,false,false,false,0.10046123876236,0.11386719415896,0.18615831318311,37.231662636623,0.067324938485399
6711,CAMERA_NEAR,0x000799A2,U8,BODY_PROGRESSION,36.5,5,6,2,7,7,8,5,0,5,1,3,false,false,false,36.5,0,0,0,-2
6712,ARM_NEAR_X,0x000D3DC8,U16_BE,AUTO_AIM_DOWN,36,49023,49017,49023,49023,49023,49023,0,0,0,-6,0,false,false,false,0.0,36,0,0,12
6713,ARM_CORE,0x000D3DC8,U16_BE,AUTO_AIM_DOWN,36,49023,49017,49023,49023,49023,49023,0,0,0,-6,0,false,false,false,0.0,36,0,0,12
6714,ARM_NEAR_X,0x000D3DC9,U8,AUTO_AIM_DOWN,36,127,121,127,127,127,127,0,0,0,-6,0,false,false,false,0.0,36,0,0,12
6715,ARM_CORE,0x000D3DC9,U8,AUTO_AIM_DOWN,36,127,121,127,127,127,127,0,0,0,-6,0,false,false,false,0.0,36,0,0,12
6716,ARM_CORE,0x000D4299,U8,AUTO_AIM_DOWN,36,0,18,18,18,18,18,0,0,0,18,18,false,false,false,-36.0,36,0,0,-108
6717,ARM_CORE,0x000D464C,U16_BE,AUTO_AIM_DOWN,36,0,18,18,18,18,18,0,0,0,18,18,false,false,false,-36.0,36,0,0,-108
6718,ARM_CORE,0x000D464D,U8,AUTO_AIM_DOWN,36,0,18,18,18,18,18,0,0,0,18,18,false,false,false,-36.0,36,0,0,-108
6719,ARM_CORE,0x000D5D68,U8,BODY_PROGRESSION,34.0,248,252,248,252,252,248,4,0,4,4,0,false,false,false,34.0,16,0,0,24
6720,ARM_CORE,0x000D5D6B,U8,BODY_PROGRESSION,34.0,0,4,0,4,4,0,4,0,4,4,0,false,false,false,34.0,16,0,0,24
6721,ARM_CORE,0x000D5D83,U8,BODY_PROGRESSION,34.0,4,0,4,0,0,4,-4,0,-4,-4,0,false,false,false,34.0,16,0,0,24
6722,ARM_CORE,0x000D5D92,U8,BODY_PROGRESSION,34.0,16,20,16,20,20,16,4,0,4,4,0,false,false,false,34.0,16,0,0,24
6723,ARM_CORE,0x000D5DA0,U8,BODY_PROGRESSION,34.0,182,186,182,186,186,182,4,0,4,4,0,false,false,false,34.0,16,0,0,24
6724,ARM_CORE,0x000D604B,U8,BODY_PROGRESSION,34.0,6,6,0,4,4,6,4,0,4,0,0,false,false,false,34.0,4,0,0,16
6725,ARM_CORE,0x000D613A,U8,BODY_PROGRESSION,34.0,20,16,20,16,16,20,-4,0,-4,-4,0,false,false,false,34.0,16,0,0,24
6726,ARM_CORE,0x000D613B,U8,BODY_PROGRESSION,34.0,2,6,2,6,6,2,4,0,4,4,0,false,false,false,34.0,16,0,0,24
6727,ARM_CORE,0x000D6162,U8,BODY_PROGRESSION,34.0,16,20,16,20,20,16,4,0,4,4,0,false,false,false,34.0,16,0,0,24
6728,ARM_CORE,0x000D6163,U8,BODY_PROGRESSION,34.0,6,2,6,2,2,6,-4,0,-4,-4,0,false,false,false,34.0,16,0,0,24
6729,ARM_CORE,0x000D618A,U8,BODY_PROGRESSION,34.0,20,16,20,16,16,20,-4,0,-4,-4,0,false,false,false,34.0,16,0,0,24
6730,ARM_CORE,0x000D618B,U8,BODY_PROGRESSION,34.0,2,6,2,6,6,2,4,0,4,4,0,false,false,false,34.0,16,0,0,24
6731,ARM_CORE,0x000D61B2,U8,BODY_PROGRESSION,34.0,16,20,16,20,20,16,4,0,4,4,0,false,false,false,34.0,16,0,0,24
6732,ARM_CORE,0x000D61B3,U8,BODY_PROGRESSION,34.0,6,2,6,2,2,6,-4,0,-4,-4,0,false,false,false,34.0,16,0,0,24
6733,ARM_CORE,0x000D61DA,U8,BODY_PROGRESSION,34.0,20,16,20,16,16,20,-4,0,-4,-4,0,false,false,false,34.0,16,0,0,24
6734,ARM_CORE,0x000D61DB,U8,BODY_PROGRESSION,34.0,2,6,2,6,6,2,4,0,4,4,0,false,false,false,34.0,16,0,0,24
6735,ARM_CORE,0x000D3646,U8,BODY_PROGRESSION,33.5,155,157,187,202,202,202,15,0,15,2,47,false,false,false,33.5,4,0,0,-312
6736,ARM_CORE,0x000D5DFC,U8,BODY_PROGRESSION,32.5,0,0,5,0,0,5,-5,0,-5,0,5,false,false,false,32.5,-10,0,0,-20
6737,ARM_CORE,0x000D5E4C,U8,BODY_PROGRESSION,32.5,0,0,5,0,0,5,-5,0,-5,0,5,false,false,false,32.5,-10,0,0,-20
6738,ARM_CORE,0x000D611C,U8,BODY_PROGRESSION,32.5,5,0,5,0,0,0,-5,0,-5,-5,-5,false,false,false,32.5,10,0,0,-10
6739,ARM_CORE,0x000D38E8,U16_BE,BODY_PROGRESSION,32.0,49210,49208,49201,49214,49205,49164,13,-9,4,-2,-46,false,false,false,32.0,-78,0,0,-312
6740,ARM_CORE,0x000D38E9,U8,BODY_PROGRESSION,32.0,58,56,49,62,53,12,13,-9,4,-2,-46,false,false,false,32.0,-78,0,0,-312
