GoldenEyeDiagnostic 0.0.5.8.8.1
ROM: 007 - GoldenEye (USA)
Hash: ABE01E4AEB033B6C0836819F549C791B26CFDE83
Candidates found: 8400
Candidates exported: 8400
CSV: .\output\first-soldier-vertical-candidates-20260729-201716.csv

Snapshots:
CENTER | frame=5399
AUTO_AIM_DOWN | frame=6725
TARGET_HEAD | frame=8534
TARGET_UPPER_BODY | frame=4213
TARGET_LOWER_BODY | frame=5825
TARGET_LOST | frame=4693

Regions:
ARM_CORE | 0x000D3600-0x000D61FF
ARM_NEAR_X | 0x000D3C00-0x000D40FF
CAMERA_NEAR | 0x00079600-0x00079CFF

Top 200:
26 | region=ARM_NEAR_X | address=0x000D3F54 | type=U32_BE | kind=BODY_PROGRESSION | score=39051132273.5 | center=0 | down=1076378158 | head=181699752 | upper=2445242831 | lower=2572762767 | lost=2783047406 | monotonic=true
27 | region=ARM_CORE | address=0x000D390C | type=U32_BE | kind=BODY_PROGRESSION | score=38971080914.0 | center=1012706221 | down=1028390016 | head=1015127674 | upper=3113938227 | lower=3122003456 | lost=1027865341 | monotonic=true
28 | region=ARM_CORE | address=0x000D3F68 | type=U32_BE | kind=BODY_PROGRESSION | score=37962310857.0 | center=0 | down=1076378158 | head=421437748 | upper=2659888524 | lower=2758690778 | lost=2786639230 | monotonic=true
29 | region=ARM_NEAR_X | address=0x000D3F68 | type=U32_BE | kind=BODY_PROGRESSION | score=37876325781.5 | center=0 | down=1076378158 | head=421437748 | upper=2659888524 | lower=2754357349 | lost=2783047406 | monotonic=true
30 | region=ARM_CORE | address=0x000D6020 | type=U32_BE | kind=BODY_PROGRESSION | score=37559452727.0 | center=4211081216 | down=3120567298 | head=4229273604 | upper=100663296 | lower=3154120710 | lost=3154120710 | monotonic=false
31 | region=ARM_CORE | address=0x000D5FC8 | type=U32_BE | kind=BODY_PROGRESSION | score=37228645093.5 | center=4211081216 | down=3120567298 | head=4211081216 | upper=100663296 | lower=3103785757 | lost=3103785757 | monotonic=false
32 | region=ARM_CORE | address=0x000D5D74 | type=U32_BE | kind=BODY_PROGRESSION | score=36507222007.5 | center=4294967295 | down=3289456760 | head=4294967295 | upper=4294967295 | lower=0 | lost=4294967295 | monotonic=false
33 | region=ARM_CORE | address=0x000D5C2C | type=U32_BE | kind=BODY_PROGRESSION | score=36506107904.0 | center=4294836224 | down=4294836224 | head=4294836224 | upper=4294836224 | lower=0 | lost=4294836224 | monotonic=false
34 | region=ARM_CORE | address=0x000D5C14 | type=U32_BE | kind=BODY_PROGRESSION | score=36497994127.0 | center=4294901758 | down=4294901758 | head=4294901758 | upper=4294901758 | lower=1020096 | lost=4294901758 | monotonic=false
35 | region=ARM_CORE | address=0x000D5C1C | type=U32_BE | kind=BODY_PROGRESSION | score=36497447968.0 | center=4294836224 | down=4294836224 | head=4294836224 | upper=4294836224 | lower=1018816 | lost=4294836224 | monotonic=false
36 | region=ARM_CORE | address=0x000D5C24 | type=U32_BE | kind=BODY_PROGRESSION | score=36489032271.0 | center=4294901758 | down=4294901758 | head=4294901758 | upper=4294901758 | lower=2074432 | lost=4294901758 | monotonic=false
37 | region=ARM_CORE | address=0x000D3CEC | type=U32_BE | kind=BODY_PROGRESSION | score=35903002309.0 | center=1021105421 | down=3172274982 | head=3171877608 | upper=998394983 | lower=998370944 | lost=3174577717 | monotonic=true
38 | region=ARM_NEAR_X | address=0x000D3CEC | type=U32_BE | kind=BODY_PROGRESSION | score=35903002309.0 | center=1021105421 | down=3172274982 | head=3171877608 | upper=998394983 | lower=998370944 | lost=3174577717 | monotonic=true
39 | region=ARM_CORE | address=0x000D61F0 | type=U32_BE | kind=BODY_PROGRESSION | score=35768162810.0 | center=4229273604 | down=3154121734 | head=4229273604 | upper=4229273604 | lower=16973888 | lost=4211081216 | monotonic=false
40 | region=ARM_NEAR_X | address=0x000D3CD8 | type=U32_BE | kind=BODY_PROGRESSION | score=35726715608.0 | center=1024480459 | down=1022964179 | head=3166511498 | upper=3141165223 | lower=1007188640 | lost=3172879254 | monotonic=true
41 | region=ARM_CORE | address=0x000D3CD8 | type=U32_BE | kind=BODY_PROGRESSION | score=35726715608.0 | center=1024480459 | down=1022964179 | head=3166511498 | upper=3141165223 | lower=1007188640 | lost=3172879254 | monotonic=true
42 | region=CAMERA_NEAR | address=0x00079948 | type=U32_BE | kind=BODY_PROGRESSION | score=35712439647.5 | center=3144415524 | down=3192980779 | head=3197370977 | upper=3189058246 | lower=1041896092 | lost=1050022815 | monotonic=true
43 | region=ARM_CORE | address=0x000D3A7C | type=U32_BE | kind=BODY_PROGRESSION | score=35617315392.5 | center=3163297565 | down=1019750186 | head=3164023042 | upper=1023269061 | lower=1010073333 | lost=1028126111 | monotonic=true
44 | region=ARM_CORE | address=0x000D3A3C | type=U32_BE | kind=BODY_PROGRESSION | score=35609136598.5 | center=3163234795 | down=1020900750 | head=3164166027 | upper=1023314991 | lower=1010586796 | lost=1028102165 | monotonic=true
45 | region=ARM_CORE | address=0x000D3A18 | type=U32_BE | kind=BODY_PROGRESSION | score=35575893681.5 | center=3167998312 | down=3196538933 | head=1017359335 | upper=3163100817 | lower=3171992052 | lost=1012254918 | monotonic=true
46 | region=ARM_CORE | address=0x000D3918 | type=U32_BE | kind=BODY_PROGRESSION | score=35548241998.0 | center=1023853594 | down=3174724215 | head=1020639795 | upper=3156482695 | lower=3171865351 | lost=3171643722 | monotonic=true
47 | region=ARM_CORE | address=0x000D3E24 | type=U32_BE | kind=BODY_PROGRESSION | score=35513561524.0 | center=1023730308 | down=1026556004 | head=1025028969 | upper=3171591392 | lower=3175514455 | lost=3164825636 | monotonic=true
48 | region=ARM_NEAR_X | address=0x000D3E24 | type=U32_BE | kind=BODY_PROGRESSION | score=35512008626.0 | center=1023633420 | down=1026556004 | head=1025028969 | upper=3171591392 | lower=3175514455 | lost=3165505197 | monotonic=true
