frame,event,mode,gate_enabled,armed,stable_count,invalid_count,screen_x,screen_x_copy,raw_horizontal,normalized,camera_reference_loaded,camera_max_delta,arm_ready,camera_ready,gate_ready,blocker
4520,SAMPLE,ARM_ONLY,true,true,0,138,188.20901489258,188.20901489258,145.99000549316,-0.14695310592651,false,inf,false,false,false,ARM
4530,SAMPLE,ARM_ONLY,true,true,0,148,189.65794372559,189.65794372559,153.34759521484,-0.15433549880981,false,inf,false,false,false,ARM
4540,SAMPLE,ARM_ONLY,true,true,0,158,191.31512451172,191.31512451172,161.66998291016,-0.1628680229187,false,inf,false,false,false,ARM
4550,SAMPLE,ARM_ONLY,true,true,0,168,192.60804748535,192.60804748535,168.11700439453,-0.16948366165161,false,inf,false,false,false,ARM
4560,SAMPLE,ARM_ONLY,true,true,0,178,194.48059082031,194.48059082031,177.34996032715,-0.17902326583862,false,inf,false,false,false,ARM
4570,SAMPLE,ARM_ONLY,true,true,0,188,198.79544067383,198.79544067383,198.12490844727,-0.19795846939087,false,inf,false,false,false,ARM
4580,SAMPLE,ARM_ONLY,true,true,0,198,200.52569580078,200.52569580078,206.19573974609,-0.20955944061279,false,inf,false,false,false,ARM
4590,SAMPLE,ARM_ONLY,true,true,0,208,202.12756347656,202.12756347656,214.28977966309,-0.21756505966187,false,inf,false,false,false,ARM
4600,SAMPLE,ARM_ONLY,true,true,0,218,203.53439331055,203.53439331055,221.78393554688,-0.22461175918579,false,inf,false,false,false,ARM
4610,SAMPLE,ARM_ONLY,true,true,0,228,205.08493041992,205.08493041992,229.5895690918,-0.23232984542847,false,inf,false,false,false,ARM
4620,SAMPLE,ARM_ONLY,true,true,0,238,206.81977844238,206.81977844238,238.11051940918,-0.24095869064331,false,inf,false,false,false,ARM
4630,SAMPLE,ARM_ONLY,true,true,0,248,209.7802734375,209.7802734375,252.43911743164,-0.25553178787231,false,inf,false,false,false,ARM
4640,SAMPLE,ARM_ONLY,true,true,0,258,214.37045288086,214.37045288086,274.17895507813,-0.27796649932861,false,inf,false,false,false,ARM
4650,SAMPLE,ARM_ONLY,true,true,0,268,218.01588439941,218.01588439941,291.05746459961,-0.2955117225647,false,inf,false,false,false,ARM
4660,SAMPLE,ARM_ONLY,true,true,0,278,219.3547668457,219.3547668457,297.17297363281,-0.30179166793823,false,inf,false,false,false,ARM
4670,SAMPLE,ARM_ONLY,true,true,0,288,210.53762817383,210.53762817383,256.14993286133,-0.25927066802979,false,inf,false,false,false,ARM
4680,SAMPLE,ARM_ONLY,true,true,0,298,198.85307312012,198.85307312012,199.61676025391,-0.20112228393555,false,inf,false,false,false,ARM
4690,SAMPLE,ARM_ONLY,true,true,0,308,196.33990478516,196.33990478516,187.14390563965,-0.18841886520386,false,inf,false,false,false,ARM
4700,SAMPLE,ARM_ONLY,true,true,0,318,200.61169433594,200.61169433594,208.11933898926,-0.20999097824097,false,inf,false,false,false,ARM
4710,SAMPLE,ARM_ONLY,true,true,0,328,217.94081115723,217.94081115723,289.89474487305,-0.29517602920532,false,inf,false,false,false,ARM
4720,SAMPLE,ARM_ONLY,true,true,0,338,171.02725219727,171.02725219727,57.773025512695,-0.057788848876953,false,inf,false,false,false,ARM
4730,SAMPLE,ARM_ONLY,true,true,0,348,163.29956054688,163.29956054688,17.315380096436,-0.017281532287598,false,inf,false,false,false,ARM
4733,AUTO_SHOT,ARM_ONLY,true,false,0,0,162.44035339355,162.44035339355,12.807392120361,-0.0127272605896,false,inf,true,false,true,NONE
4740,SAMPLE,ARM_ONLY,true,false,7,0,160.84906005859,160.84906005859,4.4563612937927,-0.0043864250183105,false,inf,true,false,true,NONE
4750,SAMPLE,ARM_ONLY,true,false,0,10,194.50456237793,194.50456237793,178.18743896484,-0.19143915176392,false,inf,false,false,false,ARM
4752,REARMED,ARM_ONLY,true,true,0,12,194.50456237793,194.50456237793,178.18743896484,-0.17911911010742,false,inf,false,false,false,ARM
4760,SAMPLE,ARM_ONLY,true,true,0,20,171.57391357422,171.57391357422,60.617256164551,-0.060616970062256,false,inf,false,false,false,ARM
4770,SAMPLE,ARM_ONLY,true,true,0,30,167.69442749023,167.69442749023,40.319175720215,-0.040339469909668,false,inf,false,false,false,ARM
4780,SAMPLE,ARM_ONLY,true,true,0,40,167.93565368652,167.93565368652,41.538974761963,-0.041585922241211,false,inf,false,false,false,ARM
4790,SAMPLE,ARM_ONLY,true,true,0,50,168.76470947266,168.76470947266,45.778968811035,-0.045948505401611,false,inf,false,false,false,ARM
4800,SAMPLE,ARM_ONLY,true,true,0,60,169.78521728516,169.78521728516,50.88272857666,-0.051269054412842,false,inf,false,false,false,ARM
4810,SAMPLE,ARM_ONLY,true,true,0,70,171.10629272461,171.10629272461,57.419891357422,-0.058172225952148,false,inf,false,false,false,ARM
