relative_frame,emu_frame,route_index,event,checkpoint,state,death,hitSignal,pointer_hex,aux,differences
114,3195,115,,,0,0,0,0x801FABDC,0,""
115,3196,116,,,0,0,0,0x801FABDC,0,""
116,3197,117,,,0,0,0,0x801FABDC,0,""
117,3198,118,,,0,0,0,0x801FABDC,0,""
118,3199,119,,,0,0,0,0x801FABDC,0,""
119,3200,120,,,0,0,0,0x801FABDC,0,""
120,3201,121,,,0,0,0,0x801FABDC,0,""
121,3202,122,,,0,0,0,0x801FABDC,0,""
122,3203,123,,,0,0,0,0x801FABDC,0,""
123,3204,124,,,0,0,0,0x801FABDC,0,""
124,3205,125,,,0,0,0,0x801FABDC,0,""
125,3206,126,,,0,0,0,0x801FABDC,0,""
126,3207,127,,,0,0,0,0x801FABDC,0,""
127,3208,128,,,0,0,0,0x801FABDC,0,""
128,3209,129,,,0,0,0,0x801FABDC,0,""
129,3210,130,,,0,0,0,0x801FABDC,0,""
130,3211,131,,,0,0,0,0x801FABDC,0,""
131,3212,132,,,0,0,0,0x801FABDC,0,""
132,3213,133,,,0,0,0,0x801FABDC,0,""
133,3214,134,,,0,0,0,0x801FABDC,0,""
134,3215,135,,,0,0,0,0x801FABDC,0,""
135,3216,136,,,0,0,0,0x801FABDC,0,""
136,3217,137,,,0,0,0,0x801FABDC,0,""
137,3218,138,,,0,0,0,0x801FABDC,0,""
138,3219,139,,,0,0,0,0x801FABDC,0,""
139,3220,140,,,0,0,0,0x801FABDC,0,""
140,3221,141,,,0,0,0,0x801FABDC,0,""
141,3222,142,,,0,0,0,0x801FABDC,0,""
142,3223,143,,,0,0,0,0x801FABDC,0,""
143,3224,144,,,0,0,0,0x801FABDC,0,""
144,3225,145,,,0,0,0,0x801FABDC,0,""
145,3226,146,,,0,0,0,0x801FABDC,0,""
146,3227,147,,,0,0,0,0x801FABDC,0,""
147,3228,148,,,0,0,0,0x801FABDC,0,""
148,3229,149,,,0,0,0,0x801FABDC,0,""
149,3230,150,,,0,0,0,0x801FABDC,0,""
150,3231,151,,,0,0,0,0x801FABDC,0,""
151,3232,152,,,0,0,0,0x801FABDC,0,""
152,3233,153,,,0,0,0,0x801FABDC,0,""
153,3234,154,,,0,0,0,0x801FABDC,0,""
154,3235,155,,,0,0,0,0x801FABDC,0,""
155,3236,156,,,0,0,0,0x801FABDC,0,""
156,3237,157,,,0,0,0,0x801FABDC,0,""
157,3238,158,,,0,0,0,0x801FABDC,0,""
158,3239,159,,,0,0,0,0x801FABDC,0,""
159,3240,160,,,0,0,0,0x801FABDC,0,""
160,3241,161,,,0,0,0,0x801FABDC,0,""
161,3242,162,,,0,0,0,0x801FABDC,0,""
162,3243,163,,,0,0,0,0x801FABDC,0,""
163,3244,164,,,0,0,0,0x801FABDC,0,""
164,3245,165,,,0,0,0,0x801FABDC,0,""
165,3246,166,,,0,0,0,0x801FABDC,0,""
166,3247,167,,,0,0,0,0x801FABDC,0,""
167,3248,168,,,0,0,0,0x801FABDC,0,""
168,3249,169,,,0,0,0,0x801FABDC,0,""
169,3250,170,,,0,0,0,0x801FABDC,0,""
170,3251,171,,,0,0,0,0x801FABDC,0,""
171,3252,172,,,0,0,0,0x801FABDC,0,""
172,3253,173,,,0,0,0,0x801FABDC,0,""
173,3254,174,,,0,0,0,0x801FABDC,0,""
174,3255,175,,,0,0,0,0x801FABDC,0,""
175,3256,176,,,0,0,0,0x801FABDC,0,""
176,3257,177,,,0,0,0,0x801FABDC,0,""
177,3258,178,,,0,0,0,0x801FABDC,0,""
178,3259,179,,,0,0,0,0x801FABDC,0,""
179,3260,180,,,0,0,0,0x801FABDC,0,""
180,3261,181,,,0,0,0,0x801FABDC,0,""
181,3262,182,,,0,0,0,0x801FABDC,0,""
182,3263,183,,,0,0,0,0x801FABDC,0,""
183,3264,184,,,0,0,0,0x801FABDC,0,""
184,3265,185,,,0,0,0,0x801FABDC,0,""
185,3266,186,,,0,0,0,0x801FABDC,0,""
186,3267,187,,,0,0,0,0x801FABDC,0,""
187,3268,188,,,0,0,0,0x801FABDC,0,""
188,3269,189,,,0,0,0,0x801FABDC,0,""
189,3270,190,,,0,0,0,0x801FABDC,0,""
190,3271,191,,,0,0,0,0x801FABDC,0,""
191,3272,192,,,0,0,0,0x801FABDC,0,""
192,3273,193,,,0,0,0,0x801FABDC,0,""
193,3274,194,,,0,0,0,0x801FABDC,0,""
194,3275,195,,,0,0,0,0x801FABDC,0,""
195,3276,196,,,0,0,0,0x801FABDC,0,""
196,3277,197,,,0,0,0,0x801FABDC,0,""
197,3278,198,,,0,0,0,0x801FABDC,0,""
198,3279,199,,,0,0,0,0x801FABDC,0,""
199,3280,200,,,0,0,0,0x801FABDC,0,""
200,3281,201,,,0,0,0,0x801FABDC,0,""
201,3282,202,,,0,0,0,0x801FABDC,0,""
202,3283,203,,,0,0,0,0x801FABDC,0,""
203,3284,204,,,0,0,0,0x801FABDC,0,""
204,3285,205,,,0,0,0,0x801FABDC,0,""
205,3286,206,,,0,0,0,0x801FABDC,0,""
206,3287,207,,,0,0,0,0x801FABDC,0,""
207,3288,208,,,0,0,0,0x801FABDC,0,""
208,3289,209,,,0,0,0,0x801FABDC,0,""
209,3290,210,,,0,0,0,0x801FABDC,0,""
210,3291,211,,,0,0,0,0x801FABDC,0,""
211,3292,212,,,0,0,0,0x801FABDC,0,""
212,3293,213,,,0,0,0,0x801FABDC,0,""
213,3294,214,,,0,0,0,0x801FABDC,0,""
214,3295,215,,,0,0,0,0x801FABDC,0,""
215,3296,216,,,0,0,0,0x801FABDC,0,""
216,3297,217,,,0,0,0,0x801FABDC,0,""
217,3298,218,,,0,0,0,0x801FABDC,0,""
218,3299,219,,,0,0,0,0x801FABDC,0,""
219,3300,220,,,0,0,0,0x801FABDC,0,""
220,3301,221,,,0,0,0,0x801FABDC,0,""
221,3302,222,,,0,0,0,0x801FABDC,0,""
222,3303,223,,,0,0,0,0x801FABDC,0,""
223,3304,224,,,0,0,0,0x801FABDC,0,""
224,3305,225,,,0,0,0,0x801FABDC,0,""
225,3306,226,,,0,0,0,0x801FABDC,0,""
226,3307,227,,,0,0,0,0x801FABDC,0,""
227,3308,228,,,0,0,0,0x801FABDC,0,""
228,3309,229,,,0,0,0,0x801FABDC,0,""
229,3310,230,,,0,0,0,0x801FABDC,0,""
230,3311,231,,,0,0,0,0x801FABDC,0,""
231,3312,232,,,0,0,0,0x801FABDC,0,""
232,3313,233,,,0,0,0,0x801FABDC,0,""
233,3314,234,,,0,0,0,0x801FABDC,0,""
234,3315,235,,,0,0,0,0x801FABDC,0,""
235,3316,236,,,0,0,0,0x801FABDC,0,""
236,3317,237,,,0,0,0,0x801FABDC,0,""
237,3318,238,,,0,0,0,0x801FABDC,0,""
238,3319,239,,,0,0,0,0x801FABDC,0,""
239,3320,240,,,0,0,0,0x801FABDC,0,""
240,3321,241,,,0,0,0,0x801FABDC,0,""
241,3322,242,,,0,0,0,0x801FABDC,0,""
242,3323,243,,,0,0,0,0x801FABDC,0,""
243,3324,244,,,0,0,0,0x801FABDC,0,""
244,3325,245,,,0,0,0,0x801FABDC,0,""
245,3326,246,,,0,0,0,0x801FABDC,0,""
246,3327,247,,,0,0,0,0x801FABDC,0,""
247,3328,248,,,0,0,0,0x801FABDC,0,""
248,3329,249,,,0,0,0,0x801FABDC,0,""
249,3330,250,,,0,0,0,0x801FABDC,0,""
250,3331,251,,,0,0,0,0x801FABDC,0,""
251,3332,252,,,0,0,0,0x801FABDC,0,""
252,3333,253,,,0,0,0,0x801FABDC,0,""
253,3334,254,,,0,0,0,0x801FABDC,0,""
254,3335,255,,,0,0,0,0x801FABDC,0,""
255,3336,256,,,0,0,0,0x801FABDC,0,""
256,3337,257,,,0,0,0,0x801FABDC,0,""
257,3338,258,,,0,0,0,0x801FABDC,0,""
258,3339,259,,,0,0,0,0x801FABDC,0,""
259,3340,260,,,0,0,0,0x801FABDC,0,""
260,3341,261,,,0,0,0,0x801FABDC,0,""
