frame,event,mode,gate_enabled,armed,stable_count,invalid_count,screen_x,screen_x_copy,raw_horizontal,normalized,arm_ready,raw_active,normalized_active,acquisition_ready,gate_ready,blocker
3435,SAMPLE,ARM_AND_ACQUISITION,false,true,0,426,153.67503356934,153.67503356934,-33.179187774658,0.033148884773254,false,true,true,true,false,ARM
3440,SAMPLE,ARM_AND_ACQUISITION,false,true,1,0,157.44111633301,157.44111633301,-13.429445266724,0.01339864730835,true,true,true,true,true,NONE
3445,SAMPLE,ARM_AND_ACQUISITION,false,true,6,0,158.60028076172,158.60028076172,-7.3464221954346,0.0072625875473022,true,true,true,true,true,NONE
3450,SAMPLE,ARM_AND_ACQUISITION,false,true,11,0,159.23434448242,159.23434448242,-4.0186166763306,0.0039547681808472,true,true,false,true,true,NONE
3455,SAMPLE,ARM_AND_ACQUISITION,false,true,0,4,159.58117675781,159.58117675781,-2.1982464790344,0.0021332502365112,true,false,false,false,false,ACQUISITION
3460,SAMPLE,ARM_AND_ACQUISITION,false,true,0,9,159.77090454102,159.77090454102,-1.2024383544922,0.0011265277862549,true,false,false,false,false,ACQUISITION
3465,SAMPLE,ARM_AND_ACQUISITION,false,true,0,14,159.90731811523,159.90731811523,-0.4864536523819,0.00040745735168457,true,false,false,false,false,ACQUISITION
3470,SAMPLE,ARM_AND_ACQUISITION,false,true,0,19,159.95639038086,159.95639038086,-0.22889111936092,0.00016772747039795,true,false,false,false,false,ACQUISITION
3475,SAMPLE,ARM_AND_ACQUISITION,false,true,0,24,159.9761505127,159.9761505127,-0.12517733871937,7.1883201599121e-05,true,false,false,false,false,ACQUISITION
3480,SAMPLE,ARM_AND_ACQUISITION,false,true,0,29,159.98695373535,159.98695373535,-0.068475119769573,2.3961067199707e-05,true,false,false,false,false,ACQUISITION
3485,SAMPLE,ARM_AND_ACQUISITION,false,true,0,34,159.99285888672,159.99285888672,-0.037481121718884,-2.3841857910156e-05,true,false,false,false,false,ACQUISITION
3490,SAMPLE,ARM_AND_ACQUISITION,false,true,0,39,159.99664306641,159.99664306641,-0.017619330435991,-2.3841857910156e-05,true,false,false,false,false,ACQUISITION
3495,SAMPLE,ARM_AND_ACQUISITION,false,true,0,44,147.49945068359,147.49945068359,-65.470100402832,0.06545877456665,false,true,true,true,false,ARM
3500,SAMPLE,ARM_AND_ACQUISITION,false,true,0,49,133.65788269043,133.65788269043,-136.95448303223,0.13736534118652,false,true,true,true,false,ARM
3505,SAMPLE,ARM_AND_ACQUISITION,false,true,0,54,127.09117126465,127.09117126465,-170.19302368164,0.17101752758026,false,true,true,true,false,ARM
3510,SAMPLE,ARM_AND_ACQUISITION,false,true,0,59,122.71469116211,122.71469116211,-192.04345703125,0.19321262836456,false,true,true,true,false,ARM
3515,SAMPLE,ARM_AND_ACQUISITION,false,true,0,64,119.78057098389,119.78057098389,-206.54479980469,0.20797741413116,false,true,true,true,false,ARM
3520,SAMPLE,ARM_AND_ACQUISITION,false,true,0,69,117.62617492676,117.62617492676,-217.07261657715,0.21881127357483,false,true,true,true,false,ARM
3525,SAMPLE,ARM_AND_ACQUISITION,false,true,0,74,118.52158355713,118.52158355713,-212.67301940918,0.21430516242981,false,true,true,true,false,ARM
3530,SAMPLE,ARM_AND_ACQUISITION,false,true,0,79,120.42975616455,120.42975616455,-203.33531188965,0.2047176361084,false,true,true,true,false,ARM
3535,SAMPLE,ARM_AND_ACQUISITION,false,true,0,84,122.93756103516,122.93756103516,-190.94586181641,0.19206213951111,false,true,true,true,false,ARM
