GoldenEyeDiagnostic 0.0.5.8.6
ROM: 007 - GoldenEye (USA)
Hash: ABE01E4AEB033B6C0836819F549C791B26CFDE83
Candidates found: 197
Candidates exported: 197
CSV: .\output\shot-outcome-candidates-20260729-194219.csv

Snapshots:
BEFORE_SHOT | frame=2990
HIT | frame=4043
VISUAL_DEATH | frame=4478
MISS | frame=3335

Regions:
STATE_30A | 0x00030800-0x00030CFF
STATE_3CB | 0x0003C900-0x0003CDFF
OBJECT_1E | 0x001DF000-0x001E1FFF
POINTER_1F | 0x001F3000-0x001F4FFF

Top 150:
36 | region=OBJECT_1E | address=0x001E0126 | type=U16_BE | kind=DEATH_SPECIFIC | score=60807.2 | before=0 | hit=0 | death=20968 | miss=0
37 | region=OBJECT_1E | address=0x001E0160 | type=F32_BE | kind=DEATH_SPECIFIC | score=54821.384765625 | before=0 | hit=0 | death=18903.92578125 | miss=0
38 | region=OBJECT_1E | address=0x001E012A | type=U16_BE | kind=DEATH_SPECIFIC | score=54328.6 | before=0 | hit=0 | death=18734 | miss=0
39 | region=OBJECT_1E | address=0x001E0160 | type=U16_BE | kind=DEATH_SPECIFIC | score=52394.3 | before=0 | hit=0 | death=18067 | miss=0
40 | region=OBJECT_1E | address=0x001E0168 | type=U16_BE | kind=DEATH_SPECIFIC | score=52371.1 | before=0 | hit=0 | death=18059 | miss=0
41 | region=OBJECT_1E | address=0x001E0168 | type=F32_BE | kind=DEATH_SPECIFIC | score=51682.089453125 | before=0 | hit=0 | death=17821.41015625 | miss=0
42 | region=OBJECT_1E | address=0x001E015C | type=U16_BE | kind=DEATH_SPECIFIC | score=47142.4 | before=0 | hit=0 | death=16256 | miss=0
43 | region=OBJECT_1E | address=0x001E0144 | type=U16_BE | kind=DEATH_SPECIFIC | score=45851.9 | before=0 | hit=0 | death=15811 | miss=0
44 | region=OBJECT_1E | address=0x001E0130 | type=U16_BE | kind=DEATH_SPECIFIC | score=45846.1 | before=0 | hit=0 | death=15809 | miss=0
45 | region=OBJECT_1E | address=0x001E0176 | type=U16_BE | kind=DEATH_SPECIFIC | score=45843.2 | before=0 | hit=0 | death=15808 | miss=0
46 | region=OBJECT_1E | address=0x001E0128 | type=U16_BE | kind=DEATH_SPECIFIC | score=45828.7 | before=0 | hit=0 | death=15803 | miss=0
47 | region=OBJECT_1E | address=0x001E0148 | type=U16_BE | kind=DEATH_SPECIFIC | score=45228.4 | before=0 | hit=0 | death=15596 | miss=0
48 | region=OBJECT_1E | address=0x001E0138 | type=U16_BE | kind=DEATH_SPECIFIC | score=45216.8 | before=0 | hit=0 | death=15592 | miss=0
49 | region=OBJECT_1E | address=0x001E0140 | type=U16_BE | kind=DEATH_SPECIFIC | score=44422.2 | before=0 | hit=0 | death=15318 | miss=0
50 | region=OBJECT_1E | address=0x001E016A | type=U16_BE | kind=DEATH_SPECIFIC | score=43668.2 | before=0 | hit=0 | death=15058 | miss=0
51 | region=POINTER_1F | address=0x001F454E | type=U16_BE | kind=HIT_PERSISTENT | score=42048.0 | before=23296 | hit=37312 | death=37312 | miss=23296
52 | region=POINTER_1F | address=0x001F472E | type=U16_BE | kind=HIT_PERSISTENT | score=42048.0 | before=21952 | hit=35968 | death=35968 | miss=21952
53 | region=POINTER_1F | address=0x001F474E | type=U16_BE | kind=HIT_PERSISTENT | score=42048.0 | before=21888 | hit=35904 | death=35904 | miss=21888
54 | region=POINTER_1F | address=0x001F476E | type=U16_BE | kind=HIT_PERSISTENT | score=42048.0 | before=21824 | hit=35840 | death=35840 | miss=21824
55 | region=POINTER_1F | address=0x001F478E | type=U16_BE | kind=HIT_PERSISTENT | score=42048.0 | before=21760 | hit=35776 | death=35776 | miss=21760
56 | region=POINTER_1F | address=0x001F47AE | type=U16_BE | kind=HIT_PERSISTENT | score=42048.0 | before=21696 | hit=35712 | death=35712 | miss=21696
57 | region=OBJECT_1E | address=0x001E0142 | type=U16_BE | kind=DEATH_SPECIFIC | score=39898.2 | before=0 | hit=0 | death=13758 | miss=0
58 | region=POINTER_1F | address=0x001F420C | type=U32_BE | kind=HIT_PERSISTENT | score=27232.0 | before=2148558208 | hit=2148505344 | death=2148557888 | miss=2148558208
59 | region=POINTER_1F | address=0x001F422C | type=U32_BE | kind=HIT_PERSISTENT | score=27232.0 | before=2148556864 | hit=2148504000 | death=2148556544 | miss=2148556864
