GoldenEyeDiagnostic 0.0.3.1
CSV: .\demonstrations\session-20260727-234451-frames.csv
Route cut index: 820
Start emu frame: 2604
phase,index,emu_frame,label
ROUTE,1,2604,START
ROUTE,2,2605,
ROUTE,3,2606,
ROUTE,4,2607,
ROUTE,5,2608,
ROUTE,6,2609,
ROUTE,7,2610,
ROUTE,8,2611,
ROUTE,9,2612,
ROUTE,10,2613,
ROUTE,11,2614,
ROUTE,12,2615,
ROUTE,13,2616,
ROUTE,14,2617,
ROUTE,15,2618,
ROUTE,16,2619,
ROUTE,17,2620,
ROUTE,18,2621,
ROUTE,19,2622,
ROUTE,20,2623,
ROUTE,21,2624,
ROUTE,22,2625,
ROUTE,23,2626,
ROUTE,24,2627,
ROUTE,25,2628,
ROUTE,26,2629,
ROUTE,27,2630,
ROUTE,28,2631,
ROUTE,29,2632,
ROUTE,30,2633,
ROUTE,31,2634,
ROUTE,32,2635,
ROUTE,33,2636,
ROUTE,34,2637,
ROUTE,35,2638,
ROUTE,36,2639,
ROUTE,37,2640,
ROUTE,38,2641,
ROUTE,39,2642,
ROUTE,40,2643,
ROUTE,41,2644,
ROUTE,42,2645,
ROUTE,43,2646,
ROUTE,44,2647,
ROUTE,45,2648,
ROUTE,46,2649,
ROUTE,47,2650,
ROUTE,48,2651,
ROUTE,49,2652,
ROUTE,50,2653,
ROUTE,51,2654,
ROUTE,52,2655,
ROUTE,53,2656,
ROUTE,54,2657,
ROUTE,55,2658,
ROUTE,56,2659,
ROUTE,57,2660,
ROUTE,58,2661,
ROUTE,59,2662,
ROUTE,60,2663,
ROUTE,61,2664,
ROUTE,62,2665,
ROUTE,63,2666,
ROUTE,64,2667,
ROUTE,65,2668,
ROUTE,66,2669,
ROUTE,67,2670,
ROUTE,68,2671,
ROUTE,69,2672,
ROUTE,70,2673,
ROUTE,71,2674,
ROUTE,72,2675,
ROUTE,73,2676,
ROUTE,74,2677,
ROUTE,75,2678,
ROUTE,76,2679,
ROUTE,77,2680,
ROUTE,78,2681,
ROUTE,79,2682,
ROUTE,80,2683,
ROUTE,81,2684,
ROUTE,82,2685,
ROUTE,83,2686,
ROUTE,84,2687,
ROUTE,85,2688,
ROUTE,86,2689,
ROUTE,87,2690,
ROUTE,88,2691,
ROUTE,89,2692,
ROUTE,90,2693,
ROUTE,91,2694,
ROUTE,92,2695,
ROUTE,93,2696,
ROUTE,94,2697,
ROUTE,95,2698,
ROUTE,96,2699,
ROUTE,97,2700,
ROUTE,98,2701,
ROUTE,99,2702,
ROUTE,100,2703,
ROUTE,101,2704,
ROUTE,102,2705,
ROUTE,103,2706,
ROUTE,104,2707,
ROUTE,105,2708,
ROUTE,106,2709,
ROUTE,107,2710,
ROUTE,108,2711,
ROUTE,109,2712,
ROUTE,110,2713,
ROUTE,111,2714,
ROUTE,112,2715,
ROUTE,113,2716,
ROUTE,114,2717,
ROUTE,115,2718,
ROUTE,116,2719,
ROUTE,117,2720,
ROUTE,118,2721,
ROUTE,119,2722,
ROUTE,120,2723,
ROUTE,121,2724,
ROUTE,122,2725,
ROUTE,123,2726,
ROUTE,124,2727,
ROUTE,125,2728,
ROUTE,126,2729,
ROUTE,127,2730,
ROUTE,128,2731,
ROUTE,129,2732,
ROUTE,130,2733,
ROUTE,131,2734,
ROUTE,132,2735,
ROUTE,133,2736,
ROUTE,134,2737,
ROUTE,135,2738,
ROUTE,136,2739,
ROUTE,137,2740,
ROUTE,138,2741,
ROUTE,139,2742,
ROUTE,140,2743,
ROUTE,141,2744,
ROUTE,142,2745,
ROUTE,143,2746,
ROUTE,144,2747,
ROUTE,145,2748,
ROUTE,146,2749,
ROUTE,147,2750,
ROUTE,148,2751,
ROUTE,149,2752,
ROUTE,150,2753,
ROUTE,151,2754,
ROUTE,152,2755,
ROUTE,153,2756,
ROUTE,154,2757,
