GoldenEyeDiagnostic 0.0.3.1
CSV: .\demonstrations\session-20260727-234451-frames.csv
Route cut index: 833
Start emu frame: 3180
phase,index,emu_frame,label
ROUTE,1,3180,START
ROUTE,2,3181,
ROUTE,3,3182,
ROUTE,4,3183,
ROUTE,5,3184,
ROUTE,6,3185,
ROUTE,7,3186,
ROUTE,8,3187,
ROUTE,9,3188,
ROUTE,10,3189,
ROUTE,11,3190,
ROUTE,12,3191,
ROUTE,13,3192,
ROUTE,14,3193,
ROUTE,15,3194,
ROUTE,16,3195,
ROUTE,17,3196,
ROUTE,18,3197,
ROUTE,19,3198,
ROUTE,20,3199,
ROUTE,21,3200,
ROUTE,22,3201,
ROUTE,23,3202,
ROUTE,24,3203,
ROUTE,25,3204,
ROUTE,26,3205,
ROUTE,27,3206,
ROUTE,28,3207,
ROUTE,29,3208,
ROUTE,30,3209,
ROUTE,31,3210,
ROUTE,32,3211,
ROUTE,33,3212,
ROUTE,34,3213,
ROUTE,35,3214,
ROUTE,36,3215,
ROUTE,37,3216,
ROUTE,38,3217,
ROUTE,39,3218,
ROUTE,40,3219,
ROUTE,41,3220,
ROUTE,42,3221,
ROUTE,43,3222,
ROUTE,44,3223,
ROUTE,45,3224,
ROUTE,46,3225,
ROUTE,47,3226,
ROUTE,48,3227,
ROUTE,49,3228,
ROUTE,50,3229,
ROUTE,51,3230,
ROUTE,52,3231,
ROUTE,53,3232,
ROUTE,54,3233,
ROUTE,55,3234,
ROUTE,56,3235,
ROUTE,57,3236,
ROUTE,58,3237,
ROUTE,59,3238,
ROUTE,60,3239,
ROUTE,61,3240,
ROUTE,62,3241,
ROUTE,63,3242,
ROUTE,64,3243,
ROUTE,65,3244,
ROUTE,66,3245,
ROUTE,67,3246,
ROUTE,68,3247,
ROUTE,69,3248,
ROUTE,70,3249,
ROUTE,71,3250,
ROUTE,72,3251,
ROUTE,73,3252,
ROUTE,74,3253,
ROUTE,75,3254,
ROUTE,76,3255,
ROUTE,77,3256,
ROUTE,78,3257,
ROUTE,79,3258,
ROUTE,80,3259,
ROUTE,81,3260,
ROUTE,82,3261,
ROUTE,83,3262,
ROUTE,84,3263,
ROUTE,85,3264,
ROUTE,86,3265,
ROUTE,87,3266,
ROUTE,88,3267,
ROUTE,89,3268,
ROUTE,90,3269,
ROUTE,91,3270,
ROUTE,92,3271,
ROUTE,93,3272,
ROUTE,94,3273,
ROUTE,95,3274,
ROUTE,96,3275,
ROUTE,97,3276,
ROUTE,98,3277,
ROUTE,99,3278,
ROUTE,100,3279,
ROUTE,101,3280,
ROUTE,102,3281,
ROUTE,103,3282,
ROUTE,104,3283,
ROUTE,105,3284,
ROUTE,106,3285,
ROUTE,107,3286,
ROUTE,108,3287,
ROUTE,109,3288,
ROUTE,110,3289,
ROUTE,111,3290,
ROUTE,112,3291,
ROUTE,113,3292,
ROUTE,114,3293,
ROUTE,115,3294,
ROUTE,116,3295,
ROUTE,117,3296,
ROUTE,118,3297,
ROUTE,119,3298,
ROUTE,120,3299,
ROUTE,121,3300,
ROUTE,122,3301,
ROUTE,123,3302,
ROUTE,124,3303,
ROUTE,125,3304,
ROUTE,126,3305,
ROUTE,127,3306,
ROUTE,128,3307,
ROUTE,129,3308,
ROUTE,130,3309,
ROUTE,131,3310,
ROUTE,132,3311,
ROUTE,133,3312,
ROUTE,134,3313,
ROUTE,135,3314,
ROUTE,136,3315,
ROUTE,137,3316,
ROUTE,138,3317,
ROUTE,139,3318,
ROUTE,140,3319,
ROUTE,141,3320,
ROUTE,142,3321,
ROUTE,143,3322,
ROUTE,144,3323,
ROUTE,145,3324,
ROUTE,146,3325,
ROUTE,147,3326,
ROUTE,148,3327,
ROUTE,149,3328,
ROUTE,150,3329,
ROUTE,151,3330,
ROUTE,152,3331,
ROUTE,153,3332,
ROUTE,154,3333,
ROUTE,155,3334,
ROUTE,156,3335,
ROUTE,157,3336,
ROUTE,158,3337,
ROUTE,159,3338,
ROUTE,160,3339,
ROUTE,161,3340,
ROUTE,162,3341,
ROUTE,163,3342,
ROUTE,164,3343,
ROUTE,165,3344,
ROUTE,166,3345,
ROUTE,167,3346,
ROUTE,168,3347,
ROUTE,169,3348,
ROUTE,170,3349,
ROUTE,171,3350,
ROUTE,172,3351,
ROUTE,173,3352,
ROUTE,174,3353,
ROUTE,175,3354,
ROUTE,176,3355,
ROUTE,177,3356,
ROUTE,178,3357,
ROUTE,179,3358,
ROUTE,180,3359,
ROUTE,181,3360,
ROUTE,182,3361,
ROUTE,183,3362,
ROUTE,184,3363,
ROUTE,185,3364,
ROUTE,186,3365,
ROUTE,187,3366,
ROUTE,188,3367,
ROUTE,189,3368,
ROUTE,190,3369,
ROUTE,191,3370,
ROUTE,192,3371,
ROUTE,193,3372,
ROUTE,194,3373,
ROUTE,195,3374,
ROUTE,196,3375,
ROUTE,197,3376,
ROUTE,198,3377,
ROUTE,199,3378,
ROUTE,200,3379,
ROUTE,201,3380,
ROUTE,202,3381,
ROUTE,203,3382,
ROUTE,204,3383,
ROUTE,205,3384,
ROUTE,206,3385,
ROUTE,207,3386,
ROUTE,208,3387,
ROUTE,209,3388,
ROUTE,210,3389,
ROUTE,211,3390,
ROUTE,212,3391,
ROUTE,213,3392,
ROUTE,214,3393,
ROUTE,215,3394,
ROUTE,216,3395,
ROUTE,217,3396,
ROUTE,218,3397,
ROUTE,219,3398,
ROUTE,220,3399,
ROUTE,221,3400,
ROUTE,222,3401,
ROUTE,223,3402,
ROUTE,224,3403,
ROUTE,225,3404,
ROUTE,226,3405,
ROUTE,227,3406,
ROUTE,228,3407,
ROUTE,229,3408,
ROUTE,230,3409,
ROUTE,231,3410,
ROUTE,232,3411,
ROUTE,233,3412,
ROUTE,234,3413,
ROUTE,235,3414,
ROUTE,236,3415,
ROUTE,237,3416,
ROUTE,238,3417,
ROUTE,239,3418,
ROUTE,240,3419,
ROUTE,241,3420,
ROUTE,242,3421,
ROUTE,243,3422,
ROUTE,244,3423,
ROUTE,245,3424,
ROUTE,246,3425,
ROUTE,247,3426,
ROUTE,248,3427,
ROUTE,249,3428,
ROUTE,250,3429,
ROUTE,251,3430,
ROUTE,252,3431,
ROUTE,253,3432,
