frame,event,state,enabled,acquisition,stable_count,quiet_count,reacquire_count,search_frame,normalized_x,normalized_y,target_x,target_y,error_x,error_y,velocity_x,velocity_y,filtered_velocity_x,filtered_velocity_y,remembered_error_x,remembered_error_y,screen_x,screen_y,raw_x,raw_y,acquired_signal,quiet_signal,enter_aligned,exit_aligned,command_x,command_y,search_decay
28951,SAMPLE,IDLE,false,0,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,0.0,0.0,0.0,3.0270854515625e-23,0,0,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0
28952,SAMPLE,IDLE,false,0,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,0.0,0.0,0.0,1.9676055435156e-23,0,0,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0
28953,SAMPLE,IDLE,false,0,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,0.0,0.0,0.0,1.2789436032852e-23,0,0,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0
28954,SAMPLE,IDLE,false,0,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,0.0,0.0,0.0,8.3131334213535e-24,0,0,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0
28955,SAMPLE,IDLE,false,0,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,0.0,0.0,0.0,5.4035367238798e-24,0,0,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0
28956,SAMPLE,IDLE,false,0,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,0.0,0.0,0.0,3.5122988705219e-24,0,0,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0
28957,SAMPLE,IDLE,false,0,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,0.0,0.0,0.0,2.2829942658392e-24,0,0,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0
28958,SAMPLE,IDLE,false,0,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,0.0,0.0,0.0,1.4839462727955e-24,0,0,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0
28959,SAMPLE,IDLE,false,0,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,0.0,0.0,0.0,9.6456507731706e-25,0,0,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0
28960,SAMPLE,IDLE,false,0,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,0.0,0.0,0.0,6.2696730025609e-25,0,0,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0
28961,SAMPLE,IDLE,false,0,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,0.0,0.0,0.0,4.0752874516646e-25,0,0,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0
28962,SAMPLE,IDLE,false,0,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,0.0,0.0,0.0,2.648936843582e-25,0,0,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0
28963,SAMPLE,IDLE,false,0,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,0.0,0.0,0.0,1.7218089483283e-25,0,0,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0
28964,SAMPLE,IDLE,false,0,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,0.0,0.0,0.0,1.1191758164134e-25,0,0,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0
28965,SAMPLE,IDLE,false,0,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,0.0,0.0,0.0,7.274642806687e-26,0,0,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0
28966,SAMPLE,IDLE,false,0,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,0.0,0.0,0.0,4.7285178243466e-26,0,0,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0
28967,SAMPLE,IDLE,false,0,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,0.0,0.0,0.0,3.0735365858253e-26,0,0,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0
28968,SAMPLE,IDLE,false,0,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,0.0,0.0,0.0,1.9977987807864e-26,0,0,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0
28969,SAMPLE,IDLE,false,0,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,0.0,0.0,0.0,1.2985692075112e-26,0,0,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0
28970,SAMPLE,IDLE,false,0,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,0.0,0.0,0.0,8.4406998488226e-27,0,0,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0
28971,SAMPLE,IDLE,false,0,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,0.0,0.0,0.0,5.4864549017347e-27,0,0,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0
28972,SAMPLE,IDLE,false,0,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,0.0,0.0,0.0,3.5661956861276e-27,0,0,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0
28973,SAMPLE,IDLE,false,0,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,0.0,0.0,0.0,2.3180271959829e-27,0,0,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0
28974,SAMPLE,IDLE,false,0,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,0.0,0.0,0.0,1.5067176773889e-27,0,0,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0
