GoldenEyeDiagnostic 0.0.5.6.1
ROM: 007 - GoldenEye (USA)
Hash: ABE01E4AEB033B6C0836819F549C791B26CFDE83
Scan range: 0x00000000-0x007FFFFC
Step: 4 bytes
Candidates exported: 1956
CSV: .\output\arm-horizontal-candidates-20260729-183052.csv

Snapshots:
NO_TARGET | frame=2710
TARGET_LEFT | frame=3671
TARGET_RIGHT | frame=5217
MANUAL_AIM | frame=6523

Top 100:
27 | address=0x000F8AD8 | kind=ARM_LEFT_CANDIDATE | score=31880.488574219 | base=-20285.07421875 | left=16480.80078125 | right=-11444.828125 | manual=-15632.440429688 | dLeft=36765.875 | dRight=8840.24609375 | signOpposed=false
28 | address=0x001052D8 | kind=ARM_LEFT_CANDIDATE | score=31879.543554688 | base=-20287.2578125 | left=16481.15625 | right=-11439.787109375 | manual=-15635.90625 | dLeft=36768.4140625 | dRight=8847.470703125 | signOpposed=false
29 | address=0x00079980 | kind=ARM_LEFT_CANDIDATE | score=31878.323535156 | base=20285.07421875 | left=-16481.15625 | right=11439.787109375 | manual=15632.440429688 | dLeft=-36766.23046875 | dRight=-8845.287109375 | signOpposed=false
30 | address=0x002E30BC | kind=MANUAL_AIM_CANDIDATE | score=30967.5 | base=0.0 | left=0.0 | right=0.0 | manual=-30967.5 | dLeft=0.0 | dRight=0.0 | signOpposed=false
31 | address=0x000D2FAC | kind=ARM_LEFT_CANDIDATE | score=30713.560351563 | base=19038.904296875 | left=-15606.057617188 | right=11857.07421875 | manual=15634.0390625 | dLeft=-34644.961914063 | dRight=-7181.830078125 | signOpposed=false
32 | address=0x003B3118 | kind=ARM_LEFT_CANDIDATE | score=28619.734375 | base=0.0 | left=28619.734375 | right=0.0 | manual=0.0 | dLeft=28619.734375 | dRight=0.0 | signOpposed=false
33 | address=0x003B3150 | kind=ARM_HORIZONTAL_CANDIDATE | score=28300.875 | base=77.0 | left=28332.875 | right=62.0 | manual=78.0 | dLeft=28255.875 | dRight=-15.0 | signOpposed=true
34 | address=0x003B3138 | kind=ARM_LEFT_CANDIDATE | score=27229.91015625 | base=-41.0 | left=27203.91015625 | right=-17.0 | manual=-11.0 | dLeft=27244.91015625 | dRight=24.0 | signOpposed=false
35 | address=0x0005E694 | kind=MANUAL_AIM_CANDIDATE | score=26079.853515625 | base=32768.0 | left=160.41015625 | right=96.751953125 | manual=160.2626953125 | dLeft=-32607.58984375 | dRight=-32671.248046875 | signOpposed=false
36 | address=0x003B3170 | kind=ARM_LEFT_CANDIDATE | score=25564.349609375 | base=0.0 | left=25564.349609375 | right=0.0 | manual=0.0 | dLeft=25564.349609375 | dRight=0.0 | signOpposed=false
37 | address=0x003B322C | kind=ARM_LEFT_CANDIDATE | score=23278.53515625 | base=0.0 | left=23278.53515625 | right=0.0 | manual=0.0 | dLeft=23278.53515625 | dRight=0.0 | signOpposed=false
38 | address=0x003B31EC | kind=ARM_LEFT_CANDIDATE | score=23277.53515625 | base=1.0 | left=23278.53515625 | right=1.0 | manual=1.0 | dLeft=23277.53515625 | dRight=0.0 | signOpposed=false
39 | address=0x003B3414 | kind=ARM_LEFT_CANDIDATE | score=23277.43515625 | base=1.0 | left=23278.53515625 | right=1.0 | manual=0.0 | dLeft=23277.53515625 | dRight=0.0 | signOpposed=false
40 | address=0x003B3294 | kind=ARM_HORIZONTAL_CANDIDATE | score=22861.68359375 | base=17659.6484375 | left=1631.51953125 | right=19937.5 | manual=17627.84375 | dLeft=-16028.12890625 | dRight=2277.8515625 | signOpposed=true
41 | address=0x0007996C | kind=ARM_LEFT_CANDIDATE | score=21110.528710937 | base=25862.6015625 | left=4368.9580078125 | right=25096.58984375 | manual=25863.69140625 | dLeft=-21493.643554688 | dRight=-766.01171875 | signOpposed=false
42 | address=0x003B32B0 | kind=ARM_HORIZONTAL_CANDIDATE | score=20833.103515625 | base=0.0 | left=20524.103515625 | right=-103.0 | manual=0.0 | dLeft=20524.103515625 | dRight=-103.0 | signOpposed=true
43 | address=0x003B2D04 | kind=MANUAL_AIM_CANDIDATE | score=20593.896643066 | base=20197.640625 | left=18825.359375 | right=18917.125 | manual=-661.53570556641 | dLeft=-1372.28125 | dRight=-1280.515625 | signOpposed=false
