frame,relative_frame,is_lagged,lag_count,event,input_state
2522,0,0,111,"SESSION_START","A=0;A Down=0;A Left=0;A Right=0;A Up=0;B=0;C Down=0;C Left=0;C Right=0;C Up=0;DPad D=0;DPad L=0;DPad R=0;DPad U=0;L=0;R=0;Start=0;X Axis=0;Y Axis=0;Z=0"
2523,1,0,111,"","A=0;A Down=0;A Left=0;A Right=0;A Up=0;B=0;C Down=0;C Left=0;C Right=0;C Up=0;DPad D=0;DPad L=0;DPad R=0;DPad U=0;L=0;R=0;Start=0;X Axis=0;Y Axis=0;Z=0"
2524,2,0,111,"","A=0;A Down=0;A Left=0;A Right=0;A Up=0;B=0;C Down=0;C Left=0;C Right=0;C Up=0;DPad D=0;DPad L=0;DPad R=0;DPad U=0;L=0;R=0;Start=0;X Axis=0;Y Axis=0;Z=0"
2525,3,0,111,"","A=0;A Down=0;A Left=0;A Right=0;A Up=0;B=0;C Down=0;C Left=0;C Right=0;C Up=0;DPad D=0;DPad L=0;DPad R=0;DPad U=0;L=0;R=0;Start=0;X Axis=0;Y Axis=0;Z=0"
2526,4,0,111,"","A=0;A Down=0;A Left=0;A Right=0;A Up=0;B=0;C Down=0;C Left=0;C Right=0;C Up=0;DPad D=0;DPad L=0;DPad R=0;DPad U=0;L=0;R=0;Start=0;X Axis=0;Y Axis=0;Z=0"
2527,5,0,111,"","A=0;A Down=0;A Left=0;A Right=0;A Up=0;B=0;C Down=0;C Left=0;C Right=0;C Up=0;DPad D=0;DPad L=0;DPad R=0;DPad U=0;L=0;R=0;Start=0;X Axis=0;Y Axis=0;Z=0"
2528,6,0,111,"","A=0;A Down=0;A Left=0;A Right=0;A Up=0;B=0;C Down=0;C Left=0;C Right=0;C Up=0;DPad D=0;DPad L=0;DPad R=0;DPad U=0;L=0;R=0;Start=0;X Axis=0;Y Axis=0;Z=0"
2529,7,0,111,"","A=0;A Down=0;A Left=0;A Right=0;A Up=0;B=0;C Down=0;C Left=0;C Right=0;C Up=0;DPad D=0;DPad L=0;DPad R=0;DPad U=0;L=0;R=0;Start=0;X Axis=0;Y Axis=0;Z=0"
2530,8,0,111,"","A=0;A Down=0;A Left=0;A Right=0;A Up=0;B=0;C Down=0;C Left=0;C Right=0;C Up=0;DPad D=0;DPad L=0;DPad R=0;DPad U=0;L=0;R=0;Start=0;X Axis=0;Y Axis=0;Z=0"
2531,9,0,111,"","A=0;A Down=0;A Left=0;A Right=0;A Up=0;B=0;C Down=0;C Left=0;C Right=0;C Up=0;DPad D=0;DPad L=0;DPad R=0;DPad U=0;L=0;R=0;Start=0;X Axis=0;Y Axis=0;Z=0"
