frame,event,last_marker,screen_x,screen_y,screen_x_copy,screen_y_copy,raw_vertical,raw_vertical_copy,normalized_vertical,normalized_horizontal,rolling_count,rolling_screen_y_min,rolling_screen_y_max,rolling_screen_y_mean,rolling_norm_y_min,rolling_norm_y_max,rolling_norm_y_mean,rolling_raw_y_min,rolling_raw_y_max,rolling_raw_y_mean
8545,SAMPLE,NONE,160.0,120.0,160.0,120.0,0.0,0.0,-0.069813169538975,0.0,15,120.0,120.0,120.0,-0.069813169538975,-0.069813169538975,-0.069813169538975,0.0,0.0,0.0
8546,SAMPLE,NONE,160.0,120.0,160.0,120.0,0.0,0.0,-0.069813169538975,0.0,15,120.0,120.0,120.0,-0.069813169538975,-0.069813169538975,-0.069813169538975,0.0,0.0,0.0
8547,SAMPLE,NONE,160.0,120.0,160.0,120.0,0.0,0.0,-0.069813169538975,0.0,15,120.0,120.0,120.0,-0.069813169538975,-0.069813169538975,-0.069813169538975,0.0,0.0,0.0
8548,SAMPLE,NONE,160.0,120.0,160.0,120.0,0.0,0.0,-0.069813169538975,0.0,15,120.0,120.0,120.0,-0.069813169538975,-0.069813169538975,-0.069813169538975,0.0,0.0,0.0
8549,SAMPLE,NONE,160.0,120.0,160.0,120.0,0.0,0.0,-0.069813169538975,0.0,15,120.0,120.0,120.0,-0.069813169538975,-0.069813169538975,-0.069813169538975,0.0,0.0,0.0
8550,SAMPLE,NONE,160.0,120.0,160.0,120.0,0.0,0.0,-0.069813169538975,0.0,15,120.0,120.0,120.0,-0.069813169538975,-0.069813169538975,-0.069813169538975,0.0,0.0,0.0
8551,SAMPLE,NONE,160.0,120.0,160.0,120.0,0.0,0.0,-0.069813169538975,0.0,15,120.0,120.0,120.0,-0.069813169538975,-0.069813169538975,-0.069813169538975,0.0,0.0,0.0
8552,SAMPLE,NONE,160.0,120.0,160.0,120.0,0.0,0.0,-0.069813169538975,0.0,15,120.0,120.0,120.0,-0.069813169538975,-0.069813169538975,-0.069813169538975,0.0,0.0,0.0
8553,SAMPLE,NONE,160.0,120.0,160.0,120.0,0.0,0.0,-0.069813169538975,0.0,15,120.0,120.0,120.0,-0.069813169538975,-0.069813169538975,-0.069813169538975,0.0,0.0,0.0
8554,SAMPLE,NONE,160.0,120.0,160.0,120.0,0.0,0.0,-0.069813169538975,0.0,15,120.0,120.0,120.0,-0.069813169538975,-0.069813169538975,-0.069813169538975,0.0,0.0,0.0
