frame,event,state,gate_enabled,attempt,memory_remaining,ready_count,result_elapsed,kill_confirm_count,screen_x,screen_x_copy,raw_horizontal,normalized,soldier_state_a,soldier_state_b,soldier_pointer_hex,arm_ready,raw_detected,normalized_detected,auto_aim_detected,pointer_dead,state_a_dead,state_b_dead,strong_kill,medium_kill,kill_candidate
46018,SAMPLE,COMPLETE,false,2,44,2,90,0,209.83010864258,209.83010864258,250.43984985352,-0.25581932067871,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
46020,SAMPLE,COMPLETE,false,2,44,2,90,0,209.66093444824,209.66093444824,249.6558380127,-0.25495624542236,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
46022,SAMPLE,COMPLETE,false,2,44,2,90,0,209.52444458008,209.52444458008,249.0199432373,-0.25495624542236,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
46024,SAMPLE,COMPLETE,false,2,44,2,90,0,209.52444458008,209.52444458008,249.0199432373,-0.25428533554077,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
46026,SAMPLE,COMPLETE,false,2,44,2,90,0,209.36352539063,209.36352539063,248.30473327637,-0.25351810455322,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
46028,SAMPLE,COMPLETE,false,2,44,2,90,0,209.05003356934,209.05003356934,246.93948364258,-0.25193643569946,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
46030,SAMPLE,COMPLETE,false,2,44,2,90,0,208.47462463379,208.47462463379,244.42306518555,-0.249107837677,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
46032,SAMPLE,COMPLETE,false,2,44,2,90,0,207.85797119141,207.85797119141,241.69566345215,-0.2460880279541,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
46034,SAMPLE,COMPLETE,false,2,44,2,90,0,207.85797119141,207.85797119141,241.69566345215,-0.2460880279541,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
46036,SAMPLE,COMPLETE,false,2,44,2,90,0,207.2403717041,207.2403717041,238.95967102051,-0.24301958084106,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
